x,y,gas_Saturation,CO2_concentration_in_water
0.005,0.005,0,2.73479008695034e-18
0.015,0.005,0,9.53143042498061e-18
0.025,0.005,0,2.31201199887518e-17
0.035,0.005,0,3.83706800269046e-17
0.045,0.005,0,1.08501093356181e-16
0.055,0.005,0,2.33792852159199e-16
0.065,0.005,0,8.45044974243561e-16
0.075,0.005,0,1.05577245188149e-15
0.085,0.005,0,1.33505751255315e-15
0.095,0.005,0,1.73011339218806e-15
0.105,0.005,0,4.30117738448865e-15
0.115,0.005,0,9.24749427888043e-15
0.125,0.005,0,1.24482263533798e-14
0.135,0.005,0,2.90049632922242e-14
0.145,0.005,0,5.44450419546364e-14
0.155,0.005,0,1.28775619964428e-13
0.165,0.005,0,2.79565484180731e-13
0.175,0.005,0,6.68683110794637e-13
0.185,0.005,0,1.21252050419769e-12
0.195,0.005,0,2.00459038823443e-12
0.205,0.005,0,3.62082956170412e-12
0.215,0.005,0,5.19573952198007e-12
0.225,0.005,0,4.28751106531348e-12
0.235,0.005,0,3.27917131698653e-12
0.245,0.005,0,5.1096838178243e-12
0.255,0.005,0,1.14326527878727e-11
0.265,0.005,0,2.81149624082288e-11
0.275,0.005,0,1.60520220780777e-11
0.285,0.005,0,1.16820510560524e-11
0.295,0.005,0,2.23963422474403e-11
0.305,0.005,0,3.42270930083134e-11
0.315,0.005,0,3.25765978899039e-11
0.325,0.005,0,9.52996917206054e-11
0.335,0.005,0,6.03374009985838e-11
0.345,0.005,0,1.62295565009084e-11
0.355,0.005,0,1.31114434403443e-11
0.365,0.005,0,1.27825708997136e-11
0.375,0.005,0,2.51981720651148e-11
0.385,0.005,0,2.29620578200562e-11
0.395,0.005,0,7.81708869212024e-12
0.405,0.005,0,1.68356712491e-11
0.415,0.005,0,4.06685350183366e-11
0.425,0.005,0,1.50440946523419e-10
0.435,0.005,0,3.58416285958906e-10
0.445,0.005,0,1.46524180893913e-09
0.455,0.005,0,3.3727731572907e-09
0.465,0.005,0,7.97139903366222e-09
0.475,0.005,0,2.43323034091896e-08
0.485,0.005,0,7.32381318524901e-08
0.495,0.005,0,1.55454801370714e-07
0.505,0.005,0,5.55539094565501e-07
0.515,0.005,0,1.13663975481608e-06
0.525,0.005,0,3.5288028071846e-06
0.535,0.005,0,7.66337745903423e-06
0.545,0.005,0,2.044221746262e-05
0.555,0.005,0,4.69949122622914e-05
0.565,0.005,0,0.000140610575017889
0.575,0.005,0,0.000267310483368683
0.585,0.005,0,0.000708449903271423
0.595,0.005,0,0.00129093334926464
0.605,0.005,0,0.00293352969454838
0.615,0.005,0,0.00483916754256831
0.625,0.005,0,0.0102935619411748
0.635,0.005,0,0.0164454299823713
0.645,0.005,0,0.0319905969509151
0.655,0.005,0,0.0481355425623442
0.665,0.005,0,0.0803098579958262
0.675,0.005,0,0.114373827850179
0.685,0.005,0,0.165158003530626
0.695,0.005,0,0.226256314355447
0.705,0.005,0,0.291467257811474
