x,y,gas_Saturation,CO2_concentration_in_water
0.005,0.005,0,4.42234150250109e-05
0.015,0.005,0,7.95053613893037e-05
0.025,0.005,0,0.000154781809441802
0.035,0.005,0,0.000242696927495779
0.045,0.005,0,0.000423700920978891
0.055,0.005,0,0.000648868336292373
0.065,0.005,0,0.00120748416314025
0.075,0.005,0,0.00169152721404955
0.085,0.005,0,0.00278433650518267
0.095,0.005,0,0.00417725723426921
0.105,0.005,0,0.0067230268958393
0.115,0.005,0,0.00994550143701797
0.125,0.005,0,0.0153916426209781
0.135,0.005,0,0.0229336497158702
0.145,0.005,0,0.0323439866417946
0.155,0.005,0,0.0443620014154452
0.165,0.005,0,0.0608433422670808
0.175,0.005,0,0.0818251538189154
0.185,0.005,0,0.105728621539428
0.195,0.005,0,0.128632400368603
0.205,0.005,0,0.15813438399281
0.215,0.005,0,0.187319539297478
0.225,0.005,0,0.210036929430405
0.235,0.005,0,0.245976951112975
0.245,0.005,0,0.278626211391756
0.255,0.005,0,0.31204491381272
0.265,0.005,0,0.342542635631379
0.275,0.005,0,0.356901656722291
0.285,0.005,0,0.371082603585547
0.295,0.005,0,0.372294473313103
0.305,0.005,0,0.374438269831015
0.315,0.005,0,0.358148536308897
0.325,0.005,0,0.345441668043179
0.335,0.005,0,0.325193595265064
0.345,0.005,0,0.304326066560491
0.355,0.005,0,0.256682936614741
0.365,0.005,0,0.203136421383738
0.375,0.005,0,0.132659903000642
0.385,0.005,0,0.0569643880203944
0.395,0.005,0,0.042401988696418
0.405,0.005,0,0.0464444412303224
0.415,0.005,0,0.0637262379668374
0.425,0.005,0,0.123213895992665
0.435,0.005,0,0.185304508730652
0.445,0.005,0,0.264328140539425
0.455,0.005,0,0.350967305368259
0.465,0.005,0,0.434747995546755
0.475,0.005,0,0.514888046214513
0.485,0.005,0,0.592402167629545
0.495,0.005,0,0.666473561117395
0.505,0.005,0,0.717056694316528
0.515,0.005,0,0.768538642616231
0.525,0.005,0,0.809779589475734
0.535,0.005,0,0.847635214613583
0.545,0.005,0,0.883054592640973
0.555,0.005,0,0.914266626874351
0.565,0.005,0,0.943145646968513
0.575,0.005,0,0.971094742355197
0.585,0.005,0,0.989493097299375
0.595,0.005,0,1.00748899910764
0.605,0.005,0,1.02748205598343
0.615,0.005,0,1.04144407174032
0.625,0.005,0,1.05612115795276
0.635,0.005,0,1.07061571028988
0.645,0.005,0,1.07946140986295
0.655,0.005,0,1.08594749281613
0.665,0.005,0,1.09445570632349
0.675,0.005,0,1.10191142452696
0.685,0.005,0,1.10344110704666
0.695,0.005,0,1.10821176776769
0.705,0.005,0,1.11441198563397
0.715,0.005,0,1.11799341167127
0.725,0.005,0,1.12165449240026
0.735,0.005,0,1.1220116900145
0.745,0.005,0,1.11980996114023
0.755,0.005,0,1.1253930602329
0.765,0.005,0,1.12869281025155
0.775,0.005,0,1.1307760812432
0.785,0.005,0,1.13069463592625
0.795,0.005,0,1.13001660669616
0.805,0.005,0,1.13067428587632
0.815,0.005,0,1.13157803176078
0.825,0.005,0,1.13221441490805
0.835,0.005,0,1.13304279093815
0.845,0.005,0,1.13987395839648
0.855,0.005,0,1.13980488330368
0.865,0.005,0,1.12858048658078
0.875,0.005,0,1.12351626810196
0.885,0.005,0,1.14516522940493
0.895,0.005,0,1.13911991232469
0.905,0.005,0,1.11908938835066
0.915,0.005,0,1.12221509734492
0.925,0.005,0,1.12200116468197
0.935,0.005,0,1.11410036942564
0.945,0.005,0,1.10028166379267
0.955,0.005,0,1.08858475126692
0.965,0.005,0,1.07266463680349
0.975,0.005,0,1.06710551398052
0.985,0.005,0,1.06372392918079
0.995,0.005,0,1.04903572810832
1.005,0.005,0,1.03312254287816
1.015,0.005,0,1.0163464792258
1.025,0.005,0,0.999199822964861
1.035,0.005,0,0.976019004159624
1.045,0.005,0,0.947745583955193
1.055,0.005,0,0.926818265661024
1.065,0.005,0,0.888577312517922
1.075,0.005,0,0.849406634443834
1.085,0.005,0,0.815037891231439
1.095,0.005,0,0.77736226368988
1.105,0.005,0,0.725456606232078
1.115,0.005,0,0.68205135725077
1.125,0.005,0,0.630618797877649
1.135,0.005,0,0.558282304121178
1.145,0.005,0,0.47938519618117
1.155,0.005,0,0.408038520388947
1.165,0.005,0,0.316805415211666
1.175,0.005,0,0.247195069958681
1.185,0.005,0,0.17090218339285
1.195,0.005,0,0.106611308139088
1.205,0.005,0,0.069232397135628
1.215,0.005,0,0.0332279222046161
1.225,0.005,0,0.0184291825273233
1.235,0.005,0,0.00278433614525585
1.245,0.005,0,0.0017080633877584
1.255,0.005,0,0.000671854681504051
1.265,0.005,0,0.000374794889176712
1.275,0.005,0,0.000144244016354127
1.285,0.005,0,1.58373816612955e-07
1.295,0.005,0,3.59515362157005e-07
1.305,0.005,0,7.33524657601302e-07
1.315,0.005,0,3.46844545151332e-06
1.325,0.005,0,8.93947890961999e-06
1.335,0.005,0,3.20597686025499e-05
1.345,0.005,0,6.87631820594563e-05
1.355,0.005,0,0.000217901902720635
1.365,0.005,0,0.000417376722315977
1.375,0.005,0,0.00116560130021212
1.385,0.005,0,0.00219987581269193
1.395,0.005,0,0.00519590528397204
1.405,0.005,0,0.00806537151752071
1.415,0.005,0,0.0173122464017885
1.425,0.005,0,0.0256400795452978
1.435,0.005,0,0.0465794859487978
1.445,0.005,0,0.0708579081948029
1.455,0.005,0,0.108425450882605
1.465,0.005,0,0.147601758860944
1.475,0.005,0,0.20175649284656
