x,y,gas_Saturation,CO2_concentration_in_water
0.005,0.005,0,1.96760939208372e-10
0.015,0.005,0,4.70849367046475e-10
0.025,0.005,0,1.27363381718692e-09
0.035,0.005,0,2.19405767262992e-09
0.045,0.005,0,4.91714123062536e-09
0.055,0.005,0,9.27040408656574e-09
0.065,0.005,0,2.66993365299164e-08
0.075,0.005,0,3.50317302915219e-08
0.085,0.005,0,5.93662876375554e-08
0.095,0.005,0,9.24636654622134e-08
0.105,0.005,0,1.93176731392448e-07
0.115,0.005,0,3.65532403413426e-07
0.125,0.005,0,6.62857839198114e-07
0.135,0.005,0,1.4418178377922e-06
0.145,0.005,0,2.60355980380423e-06
0.155,0.005,0,4.99879647473774e-06
0.165,0.005,0,9.30060881928649e-06
0.175,0.005,0,1.82191922791919e-05
0.185,0.005,0,3.01349328604535e-05
0.195,0.005,0,4.80697844308533e-05
0.205,0.005,0,8.37389415688474e-05
0.215,0.005,0,0.000118649785347157
0.225,0.005,0,0.000124757183216519
0.235,0.005,0,0.000147681493160942
0.245,0.005,0,0.000221933325085382
0.255,0.005,0,0.000372674230584105
0.265,0.005,0,0.000718538769129514
0.275,0.005,0,0.000720616762803486
0.285,0.005,0,0.000802560134486076
0.295,0.005,0,0.00130488499838687
0.305,0.005,0,0.00185624803438077
0.315,0.005,0,0.0017855159770845
0.325,0.005,0,0.00233125749015587
0.335,0.005,0,0.00206386974492895
0.345,0.005,0,0.00173941243502571
0.355,0.005,0,0.00140158434040822
0.365,0.005,0,0.00106359505201506
0.375,0.005,0,0.00109406324768808
0.385,0.005,0,0.000817356502521664
0.395,0.005,0,0.000396520601636797
0.405,0.005,0,0.000315236229500694
0.415,0.005,0,4.40981649923215e-05
0.425,0.005,0,0.000131458624902618
0.435,0.005,0,0.000289544212388354
0.445,0.005,0,0.00105320117197676
0.455,0.005,0,0.00228363180621906
0.465,0.005,0,0.00419701195798836
0.475,0.005,0,0.0105070621542131
0.485,0.005,0,0.0208599522170726
0.495,0.005,0,0.0349697077921887
0.505,0.005,0,0.065893161590058
0.515,0.005,0,0.0992626739104152
0.525,0.005,0,0.151866223194244
0.535,0.005,0,0.204803662336072
0.545,0.005,0,0.272015860345552
0.555,0.005,0,0.34557193284124
0.565,0.005,0,0.424820264752771
0.575,0.005,0,0.50766823684922
0.585,0.005,0,0.576312655039859
0.595,0.005,0,0.644309372150291
0.605,0.005,0,0.71635153765065
0.615,0.005,0,0.770839818238893
0.625,0.005,0,0.826493516483673
0.635,0.005,0,0.881746414597042
0.645,0.005,0,0.924663185811806
0.655,0.005,0,0.966295026580228
0.665,0.005,0,1.00540922446082
0.675,0.005,0,1.03931482131193
0.685,0.005,0,1.06306250339791
0.695,0.005,0,1.0890894712711
0.705,0.005,0,1.11375801805718
0.715,0.005,0,1.1328969084437
0.725,0.005,0,1.15261152027514
0.735,0.005,0,1.16553288838719
0.745,0.005,0,1.17544095160565
0.755,0.005,0,1.19760556585316
0.765,0.005,0,1.21147391769156
0.775,0.005,0,1.21947159668208
0.785,0.005,0,1.22617329405142
0.795,0.005,0,1.2328601102252
0.805,0.005,0,1.24194705475999
0.815,0.005,0,1.24972906380519
0.825,0.005,0,1.25156413434841
0.835,0.005,0,1.25350070475396
0.845,0.005,0,1.26414832629987
0.855,0.005,0,1.25840217451381
0.865,0.005,0,1.22940471352859
0.875,0.005,0,1.2121708028935
0.885,0.005,0,1.24601161975888
0.895,0.005,0,1.23838121521717
0.905,0.005,0,1.20916065103999
0.915,0.005,0,1.21262698795286
0.925,0.005,0,1.21633161117823
0.935,0.005,0,1.20351310906065
0.945,0.005,0,1.17741964710317
0.955,0.005,0,1.15427629657099
0.965,0.005,0,1.12590634569896
0.975,0.005,0,1.11023952064491
0.985,0.005,0,1.09725379008457
0.995,0.005,0,1.0662539455337
1.005,0.005,0,1.03294128989631
1.015,0.005,0,0.993563111761253
1.025,0.005,0,0.950687758431564
1.035,0.005,0,0.901041584387836
1.045,0.005,0,0.840531662384824
1.055,0.005,0,0.784599175363469
1.065,0.005,0,0.708221902027429
1.075,0.005,0,0.633346309591963
1.085,0.005,0,0.560280146039345
1.095,0.005,0,0.48553278362139
1.105,0.005,0,0.400130801387115
1.115,0.005,0,0.316886384163079
1.125,0.005,0,0.223650497604064
1.135,0.005,0,0.155952421714456
1.145,0.005,0,0.0929593237217285
1.155,0.005,0,0.0517973539543147
1.165,0.005,0,0.0263683691298232
1.175,0.005,0,0.00909905082832426
1.185,0.005,0,0.00412449818980468
1.195,0.005,0,0.000651240350972513
1.205,0.005,0,0.000281848092688119
1.215,0.005,0,1.55778870015717e-05
1.225,0.005,0,5.66041690144672e-06
1.235,0.005,0,5.38957829116331e-08
1.245,0.005,0,4.13173061234813e-09
1.255,0.005,0,6.96321048815707e-10
1.265,0.005,0,2.13042366211674e-13
1.275,0.005,0,8.33927854363956e-14
1.285,0.005,0,9.17988182130157e-15
1.295,0.005,0,4.758855924592e-14
1.305,0.005,0,1.14854319374635e-13
1.315,0.005,0,1.08020336816612e-12
1.325,0.005,0,4.01089602038263e-12
1.335,0.005,0,2.61808251095742e-11
1.345,0.005,0,8.00090310709805e-11
