x,y,gas_Saturation,CO2_concentration_in_water
0.005,0.005,0,1.34303684579654e-30
0.015,0.005,0,8.055216430662e-30
0.025,0.005,0,2.71713498038492e-29
0.035,0.005,0,4.93828224091238e-29
0.045,0.005,0,2.55569779595188e-28
0.055,0.005,0,6.23552174265448e-28
0.065,0.005,0,4.54815964354545e-27
0.075,0.005,0,5.83804280533017e-27
0.085,0.005,0,7.27982767169399e-27
0.095,0.005,0,9.36023542772622e-27
0.105,0.005,0,3.76429834473073e-26
0.115,0.005,0,9.292694916209e-26
0.125,0.005,0,1.08398048388183e-25
0.135,0.005,0,2.81856609107201e-25
0.145,0.005,0,5.55535636865685e-25
0.155,0.005,0,1.85069576040219e-24
0.165,0.005,0,4.59803306988843e-24
0.175,0.005,0,1.57506771868605e-23
0.185,0.005,0,3.23599542028394e-23
0.195,0.005,0,6.01869635116458e-23
0.205,0.005,0,1.1999725713982e-22
0.215,0.005,0,1.78296148980914e-22
0.225,0.005,0,1.39665405667708e-22
0.235,0.005,0,9.05591557110406e-23
0.245,0.005,0,1.56360356227103e-22
0.255,0.005,0,4.08960635877902e-22
0.265,0.005,0,9.95891998348689e-22
0.275,0.005,0,4.8455719096732e-22
0.285,0.005,0,2.79934446022134e-22
0.295,0.005,0,3.58973222025975e-22
0.305,0.005,0,4.48052061501816e-22
0.315,0.005,0,4.13864252624756e-22
0.325,0.005,0,5.70664221911606e-22
0.335,0.005,0,3.17339891779994e-22
0.345,0.005,0,7.19682142884672e-23
0.355,0.005,0,5.74056882655407e-23
0.365,0.005,0,5.75870072861127e-23
0.375,0.005,0,1.16798876501454e-22
0.385,0.005,0,1.07182309122338e-22
0.395,0.005,0,3.71131910983169e-23
0.405,0.005,0,1.65741410840404e-22
0.415,0.005,0,5.34258203832489e-22
0.425,0.005,0,3.05374916095497e-21
0.435,0.005,0,8.37165050844613e-21
0.445,0.005,0,4.00724206986303e-20
0.455,0.005,0,1.15510832075699e-19
0.465,0.005,0,5.52024083060715e-19
0.475,0.005,0,1.55494017082355e-18
0.485,0.005,0,9.58062842266654e-18
0.495,0.005,0,2.37437316743946e-17
0.505,0.005,0,1.37633446127099e-16
0.515,0.005,0,3.43718606123798e-16
0.525,0.005,0,1.52845011767548e-15
0.535,0.005,0,4.68405749346181e-15
0.545,0.005,0,1.04925525158839e-14
0.555,0.005,0,5.5329930587001e-14
0.565,0.005,0,1.84331818467253e-13
0.575,0.005,0,3.51421464547994e-13
0.585,0.005,0,2.11245223300452e-12
0.595,0.005,0,6.57124261381837e-12
0.605,0.005,0,3.42199779280741e-11
0.615,0.005,0,4.41206184780118e-11
0.625,0.005,0,1.50559345046936e-10
0.635,0.005,0,2.66744895318191e-10
0.645,0.005,0,8.24851346138494e-10
0.655,0.005,0,1.9518148068184e-09
0.665,0.005,0,5.81601035080273e-09
0.675,0.005,0,9.22396983681195e-09
0.685,0.005,0,4.3824223044164e-08
0.695,0.005,0,1.37719093804582e-07
0.705,0.005,0,2.48519337987652e-07
0.715,0.005,0,5.22935058707702e-07
0.725,0.005,0,8.51146580466446e-07
0.735,0.005,0,2.14572580748311e-06
0.745,0.005,0,4.28242379581761e-06
0.755,0.005,0,5.10031094111541e-06
0.765,0.005,0,1.31358972328418e-05
0.775,0.005,0,2.2143712146158e-05
0.785,0.005,0,5.85679999952762e-05
0.795,0.005,0,7.83073802102825e-05
0.805,0.005,0,0.000105697583259096
0.815,0.005,0,0.000129159042603892
0.825,0.005,0,0.000287638281828319
0.835,0.005,0,0.000428757451892635
0.845,0.005,0,0.000290620700787028
0.855,0.005,0,0.000236103120999479
0.865,0.005,0,0.000389707096839088
0.875,0.005,0,0.00046964731245303
0.885,0.005,0,0.000207030509085706
0.895,0.005,0,0.000160472374646443
0.905,0.005,0,0.000199971361582732
0.915,0.005,0,0.000180455811904755
0.925,0.005,0,0.000111150809356804
0.935,0.005,0,7.43306141392808e-05
0.945,0.005,0,8.83760001321352e-05
0.955,0.005,0,8.63653429399546e-05
0.965,0.005,0,8.84324630624972e-05
0.975,0.005,0,5.70707923343566e-05
0.985,0.005,0,1.92190783948626e-05
0.995,0.005,0,1.04249854385024e-05
1.005,0.005,0,2.86315197845869e-06
1.015,0.005,0,1.48532344881246e-06
1.025,0.005,0,2.94838837399943e-07
1.035,0.005,0,1.72002173354709e-07
1.045,0.005,0,5.17688286254011e-08
1.055,0.005,0,2.8498881247482e-08
1.065,0.005,0,1.22280903123543e-08
1.075,0.005,0,4.27136169439061e-09
1.085,0.005,0,3.61105314344318e-09
1.095,0.005,0,1.82077859825523e-09
1.105,0.005,0,1.99451553049039e-10
1.115,0.005,0,4.09745025743889e-11
1.125,0.005,0,1.3737177832644e-11
1.135,0.005,0,8.37860107788776e-13
1.145,0.005,0,5.83358219525597e-13
1.155,0.005,0,5.11294898129402e-14
1.165,0.005,0,2.23231391652342e-14
1.175,0.005,0,4.53391888517005e-15
1.185,0.005,0,6.29008987682378e-16
1.195,0.005,0,1.51970686806972e-16
1.205,0.005,0,1.36266838211017e-17
1.215,0.005,0,4.26610604739971e-18
1.225,0.005,0,2.395104162405e-19
1.235,0.005,0,6.92955070635843e-20
1.245,0.005,0,3.31977528282559e-21
1.255,0.005,0,6.06314585602816e-22
1.265,0.005,0,2.9088245645081e-23
1.275,0.005,0,1.14072978576112e-23
1.285,0.005,0,2.51707998509412e-25
1.295,0.005,0,1.02843758138161e-25
1.305,0.005,0,1.98664991641118e-27
1.315,0.005,0,5.38277135085726e-28
1.325,0.005,0,7.9894244113776e-30
1.335,0.005,0,1.88735729681101e-30
1.345,0.005,0,6.1305651901179e-32
1.355,0.005,0,6.87699774593375e-33
1.365,0.005,0,3.80966069906738e-34
1.375,0.005,0,2.11266850488959e-35
1.385,0.005,0,2.14703508598126e-36
1.395,0.005,0,6.60722969166087e-38
1.405,0.005,0,1.5924896272803e-38
1.415,0.005,0,2.55810773978764e-40
1.425,0.005,0,4.11311400152205e-41
1.435,0.005,0,4.93607791782614e-43
1.445,0.005,0,3.98647252112226e-44
1.455,0.005,0,1.95411290905623e-40
1.465,0.005,0,6.13305053232356e-37
1.475,0.005,0,1.98614516367864e-31
1.485,0.005,0,1.98793544593349e-31
1.495,0.005,0,5.83309404489331e-30
1.505,0.005,0,3.3219521592447e-29
1.515,0.005,0,3.26659585737826e-28
1.525,0.005,0,9.54840310328278e-28
1.535,0.005,0,9.59586114420018e-28
1.545,0.005,0,2.4755930580321e-27
1.555,0.005,0,9.49582215211208e-27
1.565,0.005,0,9.52311777754984e-27
1.575,0.005,0,4.52774655947798e-26
1.585,0.005,0,5.04171938747928e-26
1.595,0.005,0,5.05275824653925e-26
1.605,0.005,0,2.04207692985724e-25
1.615,0.005,0,2.05185757793973e-25
1.625,0.005,0,8.19641815798894e-25
1.635,0.005,0,8.87099792233732e-25
1.645,0.005,0,2.51709100358964e-24
1.655,0.005,0,2.59344823098166e-24
1.665,0.005,0,5.37585217562694e-24
1.675,0.005,0,4.96398237126962e-24
1.685,0.005,0,3.95514780943619e-24
1.695,0.005,0,6.41003877446213e-24
1.705,0.005,0,6.47887057294566e-24
1.715,0.005,0,7.30983731783619e-24
1.725,0.005,0,9.04060429197268e-24
1.735,0.005,0,9.00991526389909e-24
1.745,0.005,0,5.04205080555623e-24
1.755,0.005,0,4.98875383676206e-24
1.765,0.005,0,5.15960394296899e-24
1.775,0.005,0,5.16629185048409e-24
1.785,0.005,0,7.50619899991298e-24
1.795,0.005,0,7.42640994836423e-24
1.805,0.005,0,5.3211985138678e-24
1.815,0.005,0,8.61571019212843e-24
1.825,0.005,0,8.70226111305611e-24
1.835,0.005,0,9.86162889120893e-23
1.845,0.005,0,1.00956745316615e-22
1.855,0.005,0,3.0405832952993e-23
1.865,0.005,0,2.853898463753e-23
1.875,0.005,0,1.69393392557365e-22
1.885,0.005,0,1.73664167551078e-22
1.895,0.005,0,2.0809903990617e-22
1.905,0.005,0,2.09144935089321e-22
1.915,0.005,0,1.54754969796657e-21
1.925,0.005,0,1.58493130814761e-21
1.935,0.005,0,9.00406134988323e-22
1.945,0.005,0,6.53834629078997e-22
1.955,0.005,0,3.95590968083012e-22
1.965,0.005,0,2.09325274395218e-22
1.975,0.005,0,2.07604454019647e-22
1.985,0.005,0,4.22943356990172e-22
1.995,0.005,0,4.3935330164201e-22
2.005,0.005,0,3.34597629808324e-23
2.015,0.005,0,1.44122040321671e-23
2.025,0.005,0,4.48464192717931e-24
2.035,0.005,0,3.80798894518123e-24
2.045,0.005,0,4.22468794320379e-25
2.055,0.005,0,3.47787355365184e-25
2.065,0.005,0,3.42806627911384e-25
2.075,0.005,0,3.42395296746136e-25
2.085,0.005,0,5.9583986342173e-25
2.095,0.005,0,7.5486508686334e-25
2.105,0.005,0,8.85441212755405e-25
2.115,0.005,0,3.62558160322976e-23
2.125,0.005,0,3.77468844591174e-23
2.135,0.005,0,1.11615494262946e-21
2.145,0.005,0,3.93191108946118e-21
2.155,0.005,0,4.02239579340746e-21
2.165,0.005,0,1.5119391526832e-21
2.175,0.005,0,1.39814612379961e-21
2.185,0.005,0,1.38880722861933e-21
2.195,0.005,0,9.67960571451701e-22
2.205,0.005,0,5.70420818974028e-22
2.215,0.005,0,1.34559924339572e-22
2.225,0.005,0,1.1367970613392e-22
2.235,0.005,0,5.72552903819428e-23
2.245,0.005,0,2.11259675579582e-23
2.255,0.005,0,1.02530149873354e-23
2.265,0.005,0,7.57330679468309e-24
2.275,0.005,0,1.87785072605706e-23
2.285,0.005,0,1.92178741136473e-23
2.295,0.005,0,5.53050396472257e-24
2.305,0.005,0,5.10516644831923e-24
2.315,0.005,0,7.64306232451189e-24
2.325,0.005,0,7.69151371840741e-24
2.335,0.005,0,1.26387562334888e-24
2.345,0.005,0,1.10578983875948e-24
2.355,0.005,0,2.40338591216087e-24
2.365,0.005,0,3.58316903359255e-24
2.375,0.005,0,3.70110160748199e-24
2.385,0.005,0,2.72945061062048e-23
2.395,0.005,0,2.86252864306859e-23
2.405,0.005,0,2.89198244904046e-23
2.415,0.005,0,4.90518671479978e-24
2.425,0.005,0,3.77893139444155e-24
2.435,0.005,0,2.65267607408328e-24
2.445,0.005,0,3.37735309344109e-25
2.455,0.005,0,1.63588567408721e-25
2.465,0.005,0,5.70597854879774e-26
2.475,0.005,0,4.79487030329036e-26
2.485,0.005,0,3.1875844393028e-26
2.495,0.005,0,2.39733142570343e-26
2.505,0.005,0,4.91453814190179e-25
2.515,0.005,0,6.16308721724531e-24
2.525,0.005,0,6.45143942914543e-24
