x_m,y_m,Sg,C_kgm3
0.005,0.005,0,1.07296830502456
0.015,0.005,0,1.11795946843883
0.025,0.005,0,1.14747070753782
0.035,0.005,0,1.17783443512001
0.045,0.005,0,1.2006085685131
0.055,0.005,0,1.21834051764418
0.065,0.005,0,1.2326175874897
0.075,0.005,0,1.24443830935168
0.085,0.005,0,1.25444953121482
0.095,0.005,0,1.26308109109528
0.105,0.005,0,1.27062532930726
0.115,0.005,0,1.27728509405856
0.125,0.005,0,1.28320384251195
0.135,0.005,0,1.2884862016985
0.145,0.005,0,1.29321178191375
0.155,0.005,0,1.29744219637708
0.165,0.005,0,1.30122410715117
0.175,0.005,0,1.3045923917812
0.185,0.005,0,1.30757353574455
0.195,0.005,0,1.31020558539212
0.205,0.005,0,1.31252956873794
0.215,0.005,0,1.31455845161718
0.225,0.005,0,1.31630174426923
0.235,0.005,0,1.31776705452568
0.245,0.005,0,1.31896031262511
0.255,0.005,0,1.31988587165093
0.265,0.005,0,1.32054646628528
0.275,0.005,0,1.32094270090299
0.285,0.005,0,1.32107067081209
0.295,0.005,0,1.32091169531362
0.305,0.005,0,1.31996682754708
0.315,0.005,0,1.32653902521372
0.325,0.005,0,1.32433457634465
0.335,0.005,0,1.32259409546117
0.345,0.005,0,1.32164499070548
0.355,0.005,0,1.3248683222694
0.365,0.005,0,1.32262514758003
0.375,0.005,0,1.32584835484354
0.385,0.005,0,1.32471173106163
0.395,0.005,0,1.32348926296587
0.405,0.005,0,1.32194867331068
0.415,0.005,0,1.32017105100497
0.425,0.005,0,1.31818140285959
0.435,0.005,0,1.31599117052643
0.445,0.005,0,1.3136072076937
0.455,0.005,0,1.31103407971796
0.465,0.005,0,1.30827521848587
0.475,0.005,0,1.30533402911174
0.485,0.005,0,1.30221541085246
0.495,0.005,0,1.29892797645451
0.505,0.005,0,1.29548702423951
0.515,0.005,0,1.29191792218639
0.525,0.005,0,1.28825923580662
0.535,0.005,0,1.28456477567156
0.545,0.005,0,1.28090383703058
0.555,0.005,0,1.27735922342471
0.565,0.005,0,1.27402285740363
0.575,0.005,0,1.27098873827324
0.585,0.005,0,1.26834280053954
0.595,0.005,0,1.26615034355792
0.605,0.005,0,1.2644446773773
0.615,0.005,0,1.26322478395727
0.625,0.005,0,1.262462377891
0.635,0.005,0,1.26211471482473
0.645,0.005,0,1.26213504673053
0.655,0.005,0,1.26245009245091
0.665,0.005,0,1.26300336405943
0.675,0.005,0,1.2637796433598
