x_m,y_m,Sg,C_kgm3
0.005,0.005,0,1.13283886141985
0.015,0.005,0,1.13290543302099
0.025,0.005,0,1.13301030059569
0.035,0.005,0,1.13319810436368
0.045,0.005,0,1.13343109596888
0.055,0.005,0,1.13369477350889
0.065,0.005,0,1.1339753807022
0.075,0.005,0,1.13426052419603
0.085,0.005,0,1.13453932760222
0.095,0.005,0,1.1348023304813
0.105,0.005,0,1.13504128056758
0.115,0.005,0,1.13524890190594
0.125,0.005,0,1.13541867690956
0.135,0.005,0,1.1355446566611
0.145,0.005,0,1.13562130197745
0.155,0.005,0,1.1356433486568
0.165,0.005,0,1.13560569080878
0.175,0.005,0,1.13550327450099
0.185,0.005,0,1.13533099487888
0.195,0.005,0,1.13508358996152
0.205,0.005,0,1.1347555193232
0.215,0.005,0,1.13434081968793
0.225,0.005,0,1.13383291503175
0.235,0.005,0,1.13322435875963
0.245,0.005,0,1.13250646139148
0.255,0.005,0,1.13166872563263
0.265,0.005,0,1.13069794852499
0.275,0.005,0,1.12957673546617
0.285,0.005,0,1.12828092214008
0.295,0.005,0,1.12677379292399
0.305,0.005,0,1.12431756591493
0.315,0.005,0,1.12742874179728
0.325,0.005,0,1.12059361347238
0.335,0.005,0,1.11731137388438
0.345,0.005,0,1.11519558305526
0.355,0.005,0,1.11507955390063
0.365,0.005,0,1.1059464773586
0.375,0.005,0,1.10406518128493
0.385,0.005,0,1.10232321293954
0.395,0.005,0,1.09995177764947
0.405,0.005,0,1.09728098844252
0.415,0.005,0,1.09436774854874
0.425,0.005,0,1.0912255436853
0.435,0.005,0,1.08785640608956
0.445,0.005,0,1.08425497557979
0.455,0.005,0,1.08041053816943
0.465,0.005,0,1.07631094300056
0.475,0.005,0,1.07193496540627
0.485,0.005,0,1.06727132475433
0.495,0.005,0,1.06233272184912
0.505,0.005,0,1.05713438699658
0.515,0.005,0,1.0516947326689
0.525,0.005,0,1.04603472872239
0.535,0.005,0,1.04017710434958
0.545,0.005,0,1.03414673255464
0.555,0.005,0,1.02797185743233
0.565,0.005,0,1.02168533558238
0.575,0.005,0,1.01532559766459
0.585,0.005,0,1.00893723093496
0.595,0.005,0,1.00257112698149
0.605,0.005,0,0.996284165430655
0.615,0.005,0,0.990138409127386
0.625,0.005,0,0.984199766864643
0.635,0.005,0,0.978536067088637
0.645,0.005,0,0.973214487429581
0.655,0.005,0,0.968298364388667
0.665,0.005,0,0.963843536671325
0.675,0.005,0,0.959894586007607
0.685,0.005,0,0.956481533430579
0.695,0.005,0,0.953015618905475
0.705,0.005,0,0.950337989616348
0.715,0.005,0,0.948794468813557
0.725,0.005,0,0.947721507615844
