x_m,y_m,Sg,C_kgm3
0.005,0.005,0,1.19062362717745
0.015,0.005,0,1.19118132392179
0.025,0.005,0,1.19196302326047
0.035,0.005,0,1.19318913297402
0.045,0.005,0,1.19450107514036
0.055,0.005,0,1.19580418681887
0.065,0.005,0,1.19704370375695
0.075,0.005,0,1.19818646566078
0.085,0.005,0,1.1992112567396
0.095,0.005,0,1.20010372492038
0.105,0.005,0,1.20085361132931
0.115,0.005,0,1.20145318329568
0.125,0.005,0,1.20189631586054
0.135,0.005,0,1.202177943105
0.145,0.005,0,1.20229372527017
0.155,0.005,0,1.20223984875463
0.165,0.005,0,1.20201290577787
0.175,0.005,0,1.20160983042029
0.185,0.005,0,1.20102786101285
0.195,0.005,0,1.20026451482293
0.205,0.005,0,1.19931755078203
0.215,0.005,0,1.19818490912025
0.225,0.005,0,1.19686457449336
0.235,0.005,0,1.19535431538817
0.245,0.005,0,1.19365120205635
0.255,0.005,0,1.19175074587588
0.265,0.005,0,1.18964547769985
0.275,0.005,0,1.18732264476593
0.285,0.005,0,1.18476074465637
0.295,0.005,0,1.18192308988154
0.305,0.005,0,1.17772561676826
0.315,0.005,0,1.17978747975913
0.325,0.005,0,1.17071807971873
0.335,0.005,0,1.16595379753002
0.345,0.005,0,1.16227373547959
0.355,0.005,0,1.16076333788451
0.365,0.005,0,1.14807549460858
0.375,0.005,0,1.14459664154375
0.385,0.005,0,1.1414540271843
0.395,0.005,0,1.13763552284676
0.405,0.005,0,1.13347085517669
0.415,0.005,0,1.12901798494333
0.425,0.005,0,1.12428137221596
0.435,0.005,0,1.11925576861699
0.445,0.005,0,1.11394201277315
0.455,0.005,0,1.10834478712071
0.465,0.005,0,1.10247717497465
0.475,0.005,0,1.09636342907129
0.485,0.005,0,1.09004004717055
0.495,0.005,0,1.08355525448158
0.505,0.005,0,1.07696633169603
0.515,0.005,0,1.07033607062169
0.525,0.005,0,1.06372962328815
0.535,0.005,0,1.0572120893969
0.545,0.005,0,1.05084691891945
0.555,0.005,0,1.04469488008229
0.565,0.005,0,1.03881325934641
0.575,0.005,0,1.03325504435249
0.585,0.005,0,1.02806800273212
0.595,0.005,0,1.02329369567441
0.605,0.005,0,1.01896649575946
0.615,0.005,0,1.01511272508391
0.625,0.005,0,1.0117499892368
0.635,0.005,0,1.00888680104714
0.645,0.005,0,1.00652256421199
0.655,0.005,0,1.00464797848967
0.665,0.005,0,1.00324584837586
0.675,0.005,0,1.00229223953531
0.685,0.005,0,1.00175783159802
0.695,0.005,0,1.00164608775505
0.705,0.005,0,1.00203126792286
0.715,0.005,0,1.00268798584157
0.725,0.005,0,1.00360168516866
0.735,0.005,0,1.00473655900782
0.745,0.005,0,1.00605905079541
