x_m,y_m,Sg,C_kgm3
0.005,0.005,0,1.07469019948429
0.015,0.005,0,1.07471682727295
0.025,0.005,0,1.07476006303228
0.035,0.005,0,1.07484080360311
0.045,0.005,0,1.07494710009856
0.055,0.005,0,1.07507601237537
0.065,0.005,0,1.07522418820813
0.075,0.005,0,1.07538797623716
0.085,0.005,0,1.07556351341574
0.095,0.005,0,1.07574678551142
0.105,0.005,0,1.07593366201082
0.115,0.005,0,1.07611991007679
0.125,0.005,0,1.07630119280017
0.135,0.005,0,1.07647305668785
0.145,0.005,0,1.0766309116147
0.155,0.005,0,1.07677000734187
0.165,0.005,0,1.07688540795258
0.175,0.005,0,1.07697196482921
0.185,0.005,0,1.07702428745309
0.195,0.005,0,1.07703670842859
0.205,0.005,0,1.07700323901294
0.215,0.005,0,1.07691750340524
0.225,0.005,0,1.07677264026237
0.235,0.005,0,1.07656114548031
0.245,0.005,0,1.07627462041135
0.255,0.005,0,1.07590336392688
0.265,0.005,0,1.07543570240163
0.275,0.005,0,1.07485687825699
0.285,0.005,0,1.07414706086264
0.295,0.005,0,1.07327661197516
0.305,0.005,0,1.07171090303568
0.315,0.005,0,1.07501112656585
0.325,0.005,0,1.07000737966629
0.335,0.005,0,1.06757732859266
0.345,0.005,0,1.06624709283307
0.355,0.005,0,1.06680150925576
0.365,0.005,0,1.06057142817697
0.375,0.005,0,1.05956705473803
0.385,0.005,0,1.05849381011393
0.395,0.005,0,1.05699382842632
0.405,0.005,0,1.05529057189258
0.415,0.005,0,1.05340842033507
0.425,0.005,0,1.05135213773975
0.435,0.005,0,1.04912120006181
0.445,0.005,0,1.04671204951198
0.455,0.005,0,1.04411904930122
0.465,0.005,0,1.04133511810886
0.475,0.005,0,1.03835189159236
0.485,0.005,0,1.03516048522987
0.495,0.005,0,1.03175241665495
0.505,0.005,0,1.028118948809
0.515,0.005,0,1.02425188727641
0.525,0.005,0,1.0201485146096
0.535,0.005,0,1.01581316692742
0.545,0.005,0,1.01125289188346
0.555,0.005,0,1.00647886420651
0.565,0.005,0,1.00150521649321
0.575,0.005,0,0.996348465218016
0.585,0.005,0,0.991027001814281
0.595,0.005,0,0.985561492466031
0.605,0.005,0,0.979975766642874
0.615,0.005,0,0.974297664593761
0.625,0.005,0,0.96856007816474
0.635,0.005,0,0.962802065625933
0.645,0.005,0,0.957069539073337
0.655,0.005,0,0.951416094013444
0.665,0.005,0,0.94590320099687
0.675,0.005,0,0.940599538935609
0.685,0.005,0,0.935579075831137
0.695,0.005,0,0.929839408061722
0.705,0.005,0,0.924748081698888
0.715,0.005,0,0.921263144210972
0.725,0.005,0,0.918314363252206
0.735,0.005,0,0.915900911112445
0.745,0.005,0,0.913996019910679
0.755,0.005,0,0.912552977203993
0.765,0.005,0,0.911513202039677
0.775,0.005,0,0.910814398588539
0.785,0.005,0,0.910396488318473
0.795,0.005,0,0.910204975895626
0.805,0.005,0,0.910191214617049
0.815,0.005,0,0.91031361544392
0.825,0.005,0,0.91053727260129
0.835,0.005,0,0.910833644689813
0.845,0.005,0,0.9111795689037
0.855,0.005,0,0.911556616008629
0.865,0.005,0,0.911950610077904
0.875,0.005,0,0.912351599274345
0.885,0.005,0,0.912753173159617
0.895,0.005,0,0.913151166460403
0.905,0.005,0,0.913542574578293
0.915,0.005,0,0.913924754322292
0.925,0.005,0,0.914295009239881
0.935,0.005,0,0.914650430563947
0.945,0.005,0,0.914987855977236
0.955,0.005,0,0.915303895290998
0.965,0.005,0,0.915594795555238
0.975,0.005,0,0.915856049541493
0.985,0.005,0,0.916082406849847
0.995,0.005,0,0.916269477253847
1.005,0.005,0,0.916415368639757
1.015,0.005,0,0.916519121312837
1.025,0.005,0,0.916574566862282
1.035,0.005,0,0.916580425245524
1.045,0.005,0,0.916542922868466
1.055,0.005,0,0.916460991247371
1.065,0.005,0,0.916331135190815
1.075,0.005,0,0.916149567050421
1.085,0.005,0,0.915913362920757
1.095,0.005,0,0.915621289889171
1.105,0.005,0,0.915274772618378
1.115,0.005,0,0.914878762931655
1.125,0.005,0,0.914442551990418
1.135,0.005,0,0.913980210890358
1.145,0.005,0,0.913510330196007
1.155,0.005,0,0.91305523745624
1.165,0.005,0,0.912639244647899
1.175,0.005,0,0.912285897687441
1.185,0.005,0,0.912016258978324
1.195,0.005,0,0.911847876949903
1.205,0.005,0,0.911794032440967
1.215,0.005,0,0.911863107916738
1.225,0.005,0,0.912058319041893
1.235,0.005,0,0.91237795878264
1.245,0.005,0,0.912815404809496
1.255,0.005,0,0.913360147522757
1.265,0.005,0,0.913999325292151
1.275,0.005,0,0.914719114453567
1.285,0.005,0,0.915505839173062
1.295,0.005,0,0.916346515488631
1.305,0.005,0,0.917228969135373
1.315,0.005,0,0.918141685343742
1.325,0.005,0,0.919073515754525
1.335,0.005,0,0.920013414627093
1.345,0.005,0,0.920950358928431
1.355,0.005,0,0.921873431206136
1.365,0.005,0,0.917090980877651
1.375,0.005,0,0.928152492151674
1.385,0.005,0,0.924053274300356
1.395,0.005,0,0.924851212808612
1.405,0.005,0,0.925597363554885
1.415,0.005,0,0.926288434076964
1.425,0.005,0,0.926923547761803
1.435,0.005,0,0.927504100516464
1.445,0.005,0,0.928033367501528
1.455,0.005,0,0.928515903785704
1.465,0.005,0,0.928956832661805
1.475,0.005,0,0.929361125749867
1.485,0.005,0,0.929732979152091
1.495,0.005,0,0.930075347798209
1.505,0.005,0,0.930389662342746
1.515,0.005,0,0.930675719709029
1.525,0.005,0,0.930931736174482
1.535,0.005,0,0.931154558366089
1.545,0.005,0,0.931340030513382
1.555,0.005,0,0.931483514690598
1.565,0.005,0,0.931580541855894
1.575,0.005,0,0.931627517678348
1.585,0.005,0,0.93162236655258
1.595,0.005,0,0.931564977762554
1.605,0.005,0,0.931457329998082
1.615,0.005,0,0.931303251944974
1.625,0.005,0,0.931107874632966
1.635,0.005,0,0.930876931894221
1.645,0.005,0,0.930616115423786
1.655,0.005,0,0.930330675261015
1.665,0.005,0,0.930025356231408
1.675,0.005,0,0.929704619547462
1.685,0.005,0,0.929372987727981
1.695,0.005,0,0.929035307919952
1.705,0.005,0,0.928696779214415
1.715,0.005,0,0.928362689128472
1.725,0.005,0,0.928037916572051
1.735,0.005,0,0.927726326216287
1.745,0.005,0,0.927430195321644
1.755,0.005,0,0.927149784414423
1.765,0.005,0,0.926883112137228
1.775,0.005,0,0.926625944278756
1.785,0.005,0,0.926371967224962
1.795,0.005,0,0.926113095511969
1.805,0.005,0,0.925839853310841
1.815,0.005,0,0.925541772698765
1.825,0.005,0,0.925207767556821
1.835,0.005,0,0.924826444798913
1.845,0.005,0,0.924386340188964
1.855,0.005,0,0.923876071710772
1.865,0.005,0,0.923284417105114
1.875,0.005,0,0.922600336817876
1.885,0.005,0,0.921812965573447
1.895,0.005,0,0.920911600818898
1.905,0.005,0,0.919885712714663
1.915,0.005,0,0.918724993757373
1.925,0.005,0,0.91741945143553
1.935,0.005,0,0.915959541926615
1.945,0.005,0,0.914336331621231
1.955,0.005,0,0.912541665561342
1.965,0.005,0,0.910568320916436
1.975,0.005,0,0.908410126373877
1.985,0.005,0,0.906062030637046
1.995,0.005,0,0.903520110473699
2.005,0.005,0,0.900781518198627
2.015,0.005,0,0.897844372430592
2.025,0.005,0,0.894707603423044
2.035,0.005,0,0.891370774820574
2.045,0.005,0,0.887833887276999
2.055,0.005,0,0.884097163205222
2.065,0.005,0,0.880160847880604
2.075,0.005,0,0.876025043430897
2.085,0.005,0,0.871689576611828
2.095,0.005,0,0.867153871147733
2.105,0.005,0,0.862416785773108
2.115,0.005,0,0.857476427669367
2.125,0.005,0,0.852329966270934
2.135,0.005,0,0.845589696276984
2.145,0.005,0,0.838533426842277
2.155,0.005,0,0.83262687210144
2.165,0.005,0,0.826487289163585
2.175,0.005,0,0.820105856503255
2.185,0.005,0,0.813473177349988
2.195,0.005,0,0.806579577095094
2.205,0.005,0,0.799415355269768
2.215,0.005,0,0.791970895573265
2.225,0.005,0,0.784236613932348
2.235,0.005,0,0.776202646927106
2.245,0.005,0,0.767858097900398
2.255,0.005,0,0.759190368370213
2.265,0.005,0,0.750183380973244
2.275,0.005,0,0.740814459450705
2.285,0.005,0,0.73105336913214
2.295,0.005,0,0.720858938321324
2.305,0.005,0,0.710181078789351
2.315,0.005,0,0.69895736852253
2.325,0.005,0,0.68709608270177
2.335,0.005,0,0.674642141083997
2.345,0.005,0,0.661708370307945
2.355,0.005,0,0.648440879462004
2.365,0.005,0,0.635012701995668
2.375,0.005,0,0.621598004644524
2.385,0.005,0,0.608343530090753
2.395,0.005,0,0.595346263680763
2.405,0.005,0,0.582640585242317
2.415,0.005,0,0.570197605809761
2.425,0.005,0,0.557937779468483
2.435,0.005,0,0.545750900218257
2.445,0.005,0,0.533518309557658
2.455,0.005,0,0.521135391377118
2.465,0.005,0,0.508535506337379
2.475,0.005,0,0.495719423373328
2.485,0.005,0,0.482796601371201
2.495,0.005,0,0.47004228301438
2.505,0.005,0,0.457954305231917
2.515,0.005,0,0.447241770340617
2.525,0.005,0,0.438636774415683
2.535,0.005,0,0.432535749904427
2.545,0.005,0,0.428749715783879
2.555,0.005,0,0.426640854310117
2.565,0.005,0,0.425494993454141
2.575,0.005,0,0.424778466435719
2.585,0.005,0,0.424178597614014
2.595,0.005,0,0.423537884686211
2.605,0.005,0,0.422786576624586
2.615,0.005,0,0.421893025267142
2.625,0.005,0,0.42083780614358
