x_m,y_m,Sg,C_kgm3
0.005,0.005,0,1.21942325666715
0.015,0.005,0,1.22612292254111
0.025,0.005,0,1.23214553254383
0.035,0.005,0,1.2390426261511
0.045,0.005,0,1.24470342157504
0.055,0.005,0,1.24940824328316
0.065,0.005,0,1.25332260042967
0.075,0.005,0,1.25656414076421
0.085,0.005,0,1.25921553427407
0.095,0.005,0,1.26133716141043
0.105,0.005,0,1.26297763099901
0.115,0.005,0,1.26417771249967
0.125,0.005,0,1.26496987736605
0.135,0.005,0,1.26537966193142
0.145,0.005,0,1.26542731813942
0.155,0.005,0,1.26512921375346
0.165,0.005,0,1.26449885258456
0.175,0.005,0,1.26354790066727
0.185,0.005,0,1.26228719840481
0.195,0.005,0,1.26072740626796
0.205,0.005,0,1.25887919717852
0.215,0.005,0,1.25675313021316
0.225,0.005,0,1.25435931469327
0.235,0.005,0,1.25170727183474
0.245,0.005,0,1.24880622512487
0.255,0.005,0,1.24566598156612
0.265,0.005,0,1.24229854930179
0.275,0.005,0,1.23872054112513
0.285,0.005,0,1.23495562654892
0.295,0.005,0,1.23102802001315
0.305,0.005,0,1.22566209479287
0.315,0.005,0,1.22810067681751
0.325,0.005,0,1.21893256336988
0.335,0.005,0,1.21372081196001
0.345,0.005,0,1.20976523117148
0.355,0.005,0,1.20953296202636
0.365,0.005,0,1.19756791553722
0.375,0.005,0,1.19489165475387
0.385,0.005,0,1.19134498383955
0.395,0.005,0,1.18671429875803
0.405,0.005,0,1.18167500548163
0.415,0.005,0,1.17642708189876
0.425,0.005,0,1.17106253471487
0.435,0.005,0,1.16562492362788
0.445,0.005,0,1.16014426344034
0.455,0.005,0,1.15465476663629
0.465,0.005,0,1.14919373884731
0.475,0.005,0,1.14379969344892
0.485,0.005,0,1.13851331655325
0.495,0.005,0,1.13337727824017
0.505,0.005,0,1.12843556455462
0.515,0.005,0,1.12373181447243
0.525,0.005,0,1.11930801515355
0.535,0.005,0,1.11520377256396
0.545,0.005,0,1.11145351584912
0.555,0.005,0,1.10808621202396
0.565,0.005,0,1.10512394031311
0.575,0.005,0,1.10258303573444
0.585,0.005,0,1.10047678036469
0.595,0.005,0,1.09880931480856
