x,z,saturation,concentration
0.005, 0.005, 0.000, 0.747
0.015, 0.005, 0.000, 0.747
0.025, 0.005, 0.000, 0.771
0.035, 0.005, 0.000, 0.771
0.045, 0.005, 0.000, 0.789
0.055, 0.005, 0.000, 0.789
0.065, 0.005, 0.000, 0.811
0.075, 0.005, 0.000, 0.811
0.085, 0.005, 0.000, 0.839
0.095, 0.005, 0.000, 0.839
0.105, 0.005, 0.000, 0.872
0.115, 0.005, 0.000, 0.872
0.125, 0.005, 0.000, 0.904
0.135, 0.005, 0.000, 0.904
0.145, 0.005, 0.000, 0.933
0.155, 0.005, 0.000, 0.933
0.165, 0.005, 0.000, 0.960
0.175, 0.005, 0.000, 0.960
0.185, 0.005, 0.000, 0.984
0.195, 0.005, 0.000, 0.984
0.205, 0.005, 0.000, 1.004
0.215, 0.005, 0.000, 1.004
0.225, 0.005, 0.000, 1.017
0.235, 0.005, 0.000, 1.017
0.245, 0.005, 0.000, 1.024
0.255, 0.005, 0.000, 1.024
0.265, 0.005, 0.000, 1.027
0.275, 0.005, 0.000, 1.027
0.285, 0.005, 0.000, 1.029
0.295, 0.005, 0.000, 1.029
0.305, 0.005, 0.000, 1.030
0.315, 0.005, 0.000, 1.030
0.325, 0.005, 0.000, 1.030
0.335, 0.005, 0.000, 1.030
0.345, 0.005, 0.000, 1.030
0.355, 0.005, 0.000, 1.030
0.365, 0.005, 0.000, 1.052
0.375, 0.005, 0.000, 1.052
0.385, 0.005, 0.000, 1.080
0.395, 0.005, 0.000, 1.080
0.405, 0.005, 0.000, 1.110
0.415, 0.005, 0.000, 1.110
0.425, 0.005, 0.000, 1.134
0.435, 0.005, 0.000, 1.134
0.445, 0.005, 0.000, 1.150
0.455, 0.005, 0.000, 1.150
0.465, 0.005, 0.000, 1.164
0.475, 0.005, 0.000, 1.164
0.485, 0.005, 0.000, 1.178
0.495, 0.005, 0.000, 1.178
0.505, 0.005, 0.000, 1.192
0.515, 0.005, 0.000, 1.192
0.525, 0.005, 0.000, 1.205
0.535, 0.005, 0.000, 1.205
0.545, 0.005, 0.000, 1.217
0.555, 0.005, 0.000, 1.217
0.565, 0.005, 0.000, 1.228
0.575, 0.005, 0.000, 1.228
0.585, 0.005, 0.000, 1.240
0.595, 0.005, 0.000, 1.240
0.605, 0.005, 0.000, 1.251
0.615, 0.005, 0.000, 1.251
0.625, 0.005, 0.000, 1.262
0.635, 0.005, 0.000, 1.262
0.645, 0.005, 0.000, 1.268
0.655, 0.005, 0.000, 1.268
0.665, 0.005, 0.000, 1.267
0.675, 0.005, 0.000, 1.267
0.685, 0.005, 0.000, 1.261
0.695, 0.005, 0.000, 1.261
0.705, 0.005, 0.000, 1.254
0.715, 0.005, 0.000, 1.254
0.725, 0.005, 0.000, 1.245
0.735, 0.005, 0.000, 1.245
0.745, 0.005, 0.000, 1.236
0.755, 0.005, 0.000, 1.236
0.765, 0.005, 0.000, 1.225
0.775, 0.005, 0.000, 1.225
0.785, 0.005, 0.000, 1.214
0.795, 0.005, 0.000, 1.214
0.805, 0.005, 0.000, 1.202
0.815, 0.005, 0.000, 1.202
0.825, 0.005, 0.000, 1.190
0.835, 0.005, 0.000, 1.190
0.845, 0.005, 0.000, 1.178
0.855, 0.005, 0.000, 1.178
0.865, 0.005, 0.000, 1.167
0.875, 0.005, 0.000, 1.167
0.885, 0.005, 0.000, 1.156
0.895, 0.005, 0.000, 1.156
0.905, 0.005, 0.000, 1.148
0.915, 0.005, 0.000, 1.148
0.925, 0.005, 0.000, 1.142
0.935, 0.005, 0.000, 1.142
0.945, 0.005, 0.000, 1.137
0.955, 0.005, 0.000, 1.137
0.965, 0.005, 0.000, 1.131
0.975, 0.005, 0.000, 1.131
0.985, 0.005, 0.000, 1.124
0.995, 0.005, 0.000, 1.124
1.005, 0.005, 0.000, 1.115
1.015, 0.005, 0.000, 1.115
1.025, 0.005, 0.000, 1.102
1.035, 0.005, 0.000, 1.102
1.045, 0.005, 0.000, 1.088
1.055, 0.005, 0.000, 1.088
1.065, 0.005, 0.000, 1.076
1.075, 0.005, 0.000, 1.076
1.085, 0.005, 0.000, 1.069
1.095, 0.005, 0.000, 1.069
1.105, 0.005, 0.000, 1.068
1.115, 0.005, 0.000, 1.068
1.125, 0.005, 0.000, 1.067
1.135, 0.005, 0.000, 1.067
1.145, 0.005, 0.000, 1.065
1.155, 0.005, 0.000, 1.065
1.165, 0.005, 0.000, 1.061
1.175, 0.005, 0.000, 1.061
1.185, 0.005, 0.000, 1.054
1.195, 0.005, 0.000, 1.054
1.205, 0.005, 0.000, 1.040
1.215, 0.005, 0.000, 1.040
1.225, 0.005, 0.000, 1.029
1.235, 0.005, 0.000, 1.029
1.245, 0.005, 0.000, 1.018
1.255, 0.005, 0.000, 1.018
1.265, 0.005, 0.000, 1.011
1.275, 0.005, 0.000, 1.011
1.285, 0.005, 0.000, 1.000
1.295, 0.005, 0.000, 1.000
1.305, 0.005, 0.000, 1.001
1.315, 0.005, 0.000, 1.001
1.325, 0.005, 0.000, 1.010
1.335, 0.005, 0.000, 1.010
1.345, 0.005, 0.000, 1.009
1.355, 0.005, 0.000, 1.009
1.365, 0.005, 0.000, 1.003
1.375, 0.005, 0.000, 1.003
1.385, 0.005, 0.000, 0.995
1.395, 0.005, 0.000, 0.995
1.405, 0.005, 0.000, 0.978
1.415, 0.005, 0.000, 0.978
1.425, 0.005, 0.000, 0.959
1.435, 0.005, 0.000, 0.959
1.445, 0.005, 0.000, 0.943
1.455, 0.005, 0.000, 0.943
1.465, 0.005, 0.000, 0.952
1.475, 0.005, 0.000, 0.952
1.485, 0.005, 0.000, 0.952
1.495, 0.005, 0.000, 0.952
1.505, 0.005, 0.000, 0.945
1.515, 0.005, 0.000, 0.945
1.525, 0.005, 0.000, 0.919
1.535, 0.005, 0.000, 0.919
1.545, 0.005, 0.000, 0.863
1.555, 0.005, 0.000, 0.863
1.565, 0.005, 0.000, 0.798
1.575, 0.005, 0.000, 0.798
