x,z,saturation,concentration
0.005, 0.005, 0.000, 0.613
0.015, 0.005, 0.000, 0.613
0.025, 0.005, 0.000, 0.687
0.035, 0.005, 0.000, 0.687
0.045, 0.005, 0.000, 0.719
0.055, 0.005, 0.000, 0.719
0.065, 0.005, 0.000, 0.738
0.075, 0.005, 0.000, 0.738
0.085, 0.005, 0.000, 0.752
0.095, 0.005, 0.000, 0.752
0.105, 0.005, 0.000, 0.762
0.115, 0.005, 0.000, 0.762
0.125, 0.005, 0.000, 0.770
0.135, 0.005, 0.000, 0.770
0.145, 0.005, 0.000, 0.775
0.155, 0.005, 0.000, 0.775
0.165, 0.005, 0.000, 0.779
0.175, 0.005, 0.000, 0.779
0.185, 0.005, 0.000, 0.783
0.195, 0.005, 0.000, 0.783
0.205, 0.005, 0.000, 0.789
0.215, 0.005, 0.000, 0.789
0.225, 0.005, 0.000, 0.798
0.235, 0.005, 0.000, 0.798
0.245, 0.005, 0.000, 0.813
0.255, 0.005, 0.000, 0.813
0.265, 0.005, 0.000, 0.833
0.275, 0.005, 0.000, 0.833
0.285, 0.005, 0.000, 0.852
0.295, 0.005, 0.000, 0.852
0.305, 0.005, 0.000, 0.872
0.315, 0.005, 0.000, 0.872
0.325, 0.005, 0.000, 0.898
0.335, 0.005, 0.000, 0.898
0.345, 0.005, 0.000, 0.930
0.355, 0.005, 0.000, 0.930
0.365, 0.005, 0.000, 0.981
0.375, 0.005, 0.000, 0.981
0.385, 0.005, 0.000, 1.033
0.395, 0.005, 0.000, 1.033
0.405, 0.005, 0.000, 1.078
0.415, 0.005, 0.000, 1.078
0.425, 0.005, 0.000, 1.113
0.435, 0.005, 0.000, 1.113
0.445, 0.005, 0.000, 1.139
0.455, 0.005, 0.000, 1.139
0.465, 0.005, 0.000, 1.161
0.475, 0.005, 0.000, 1.161
0.485, 0.005, 0.000, 1.180
0.495, 0.005, 0.000, 1.180
0.505, 0.005, 0.000, 1.198
0.515, 0.005, 0.000, 1.198
0.525, 0.005, 0.000, 1.215
0.535, 0.005, 0.000, 1.215
0.545, 0.005, 0.000, 1.231
0.555, 0.005, 0.000, 1.231
0.565, 0.005, 0.000, 1.245
0.575, 0.005, 0.000, 1.245
0.585, 0.005, 0.000, 1.259
0.595, 0.005, 0.000, 1.259
0.605, 0.005, 0.000, 1.272
0.615, 0.005, 0.000, 1.272
0.625, 0.005, 0.000, 1.283
0.635, 0.005, 0.000, 1.283
0.645, 0.005, 0.000, 1.291
0.655, 0.005, 0.000, 1.291
0.665, 0.005, 0.000, 1.294
0.675, 0.005, 0.000, 1.294
0.685, 0.005, 0.000, 1.294
0.695, 0.005, 0.000, 1.294
0.705, 0.005, 0.000, 1.293
0.715, 0.005, 0.000, 1.293
0.725, 0.005, 0.000, 1.292
0.735, 0.005, 0.000, 1.292
0.745, 0.005, 0.000, 1.289
0.755, 0.005, 0.000, 1.289
0.765, 0.005, 0.000, 1.286
0.775, 0.005, 0.000, 1.286
0.785, 0.005, 0.000, 1.282
0.795, 0.005, 0.000, 1.282
0.805, 0.005, 0.000, 1.277
0.815, 0.005, 0.000, 1.277
0.825, 0.005, 0.000, 1.272
0.835, 0.005, 0.000, 1.272
0.845, 0.005, 0.000, 1.264
0.855, 0.005, 0.000, 1.264
0.865, 0.005, 0.000, 1.255
0.875, 0.005, 0.000, 1.255
0.885, 0.005, 0.000, 1.244
0.895, 0.005, 0.000, 1.244
0.905, 0.005, 0.000, 1.231
0.915, 0.005, 0.000, 1.231
0.925, 0.005, 0.000, 1.215
0.935, 0.005, 0.000, 1.215
0.945, 0.005, 0.000, 1.198
0.955, 0.005, 0.000, 1.198
0.965, 0.005, 0.000, 1.180
0.975, 0.005, 0.000, 1.180
0.985, 0.005, 0.000, 1.164
0.995, 0.005, 0.000, 1.164
1.005, 0.005, 0.000, 1.152
1.015, 0.005, 0.000, 1.152
1.025, 0.005, 0.000, 1.144
1.035, 0.005, 0.000, 1.144
1.045, 0.005, 0.000, 1.144
1.055, 0.005, 0.000, 1.144
1.065, 0.005, 0.000, 1.149
1.075, 0.005, 0.000, 1.149
1.085, 0.005, 0.000, 1.147
1.095, 0.005, 0.000, 1.147
1.105, 0.005, 0.000, 1.147
1.115, 0.005, 0.000, 1.147
1.125, 0.005, 0.000, 1.146
1.135, 0.005, 0.000, 1.146
1.145, 0.005, 0.000, 1.145
1.155, 0.005, 0.000, 1.145
1.165, 0.005, 0.000, 1.142
1.175, 0.005, 0.000, 1.142
1.185, 0.005, 0.000, 1.137
1.195, 0.005, 0.000, 1.137
1.205, 0.005, 0.000, 1.129
1.215, 0.005, 0.000, 1.129
1.225, 0.005, 0.000, 1.120
1.235, 0.005, 0.000, 1.120
1.245, 0.005, 0.000, 1.107
1.255, 0.005, 0.000, 1.107
