x,z,saturation,concentration
0.005, 0.005, 0.000, 0.003
0.015, 0.005, 0.000, 0.003
0.025, 0.005, 0.000, 0.027
0.035, 0.005, 0.000, 0.027
0.045, 0.005, 0.000, 0.112
0.055, 0.005, 0.000, 0.112
0.065, 0.005, 0.000, 0.263
0.075, 0.005, 0.000, 0.263
0.085, 0.005, 0.000, 0.436
0.095, 0.005, 0.000, 0.436
0.105, 0.005, 0.000, 0.574
0.115, 0.005, 0.000, 0.574
0.125, 0.005, 0.000, 0.658
0.135, 0.005, 0.000, 0.658
0.145, 0.005, 0.000, 0.715
0.155, 0.005, 0.000, 0.715
0.165, 0.005, 0.000, 0.758
0.175, 0.005, 0.000, 0.758
0.185, 0.005, 0.000, 0.788
0.195, 0.005, 0.000, 0.788
0.205, 0.005, 0.000, 0.808
0.215, 0.005, 0.000, 0.808
0.225, 0.005, 0.000, 0.817
0.235, 0.005, 0.000, 0.817
0.245, 0.005, 0.000, 0.816
0.255, 0.005, 0.000, 0.816
0.265, 0.005, 0.000, 0.813
0.275, 0.005, 0.000, 0.813
0.285, 0.005, 0.000, 0.808
0.295, 0.005, 0.000, 0.808
0.305, 0.005, 0.000, 0.803
0.315, 0.005, 0.000, 0.803
0.325, 0.005, 0.000, 0.795
0.335, 0.005, 0.000, 0.795
0.345, 0.005, 0.000, 0.789
0.355, 0.005, 0.000, 0.789
0.365, 0.005, 0.000, 0.783
0.375, 0.005, 0.000, 0.783
0.385, 0.005, 0.000, 0.777
0.395, 0.005, 0.000, 0.777
0.405, 0.005, 0.000, 0.776
0.415, 0.005, 0.000, 0.776
0.425, 0.005, 0.000, 0.795
0.435, 0.005, 0.000, 0.795
0.445, 0.005, 0.000, 0.852
0.455, 0.005, 0.000, 0.852
0.465, 0.005, 0.000, 0.947
0.475, 0.005, 0.000, 0.947
0.485, 0.005, 0.000, 1.044
0.495, 0.005, 0.000, 1.044
0.505, 0.005, 0.000, 1.106
0.515, 0.005, 0.000, 1.106
0.525, 0.005, 0.000, 1.146
0.535, 0.005, 0.000, 1.146
0.545, 0.005, 0.000, 1.178
0.555, 0.005, 0.000, 1.178
0.565, 0.005, 0.000, 1.205
0.575, 0.005, 0.000, 1.205
0.585, 0.005, 0.000, 1.229
0.595, 0.005, 0.000, 1.229
0.605, 0.005, 0.000, 1.250
