# x, y, gas saturation, co2 concentration 
3.500000e-02, 3.500000e-02, 0.000000e+00, 1.564794e+00 
4.500000e-02, 3.500000e-02, 0.000000e+00, 1.564790e+00 
5.500000e-02, 3.500000e-02, 0.000000e+00, 1.564854e+00 
6.500000e-02, 3.500000e-02, 0.000000e+00, 1.565215e+00 
7.500000e-02, 3.500000e-02, 0.000000e+00, 1.565305e+00 
8.500000e-02, 3.500000e-02, 0.000000e+00, 1.565412e+00 
9.500000e-02, 3.500000e-02, 0.000000e+00, 1.565555e+00 
1.050000e-01, 3.500000e-02, 0.000000e+00, 1.565635e+00 
1.150000e-01, 3.500000e-02, 0.000000e+00, 1.565576e+00 
1.250000e-01, 3.500000e-02, 0.000000e+00, 1.565351e+00 
1.350000e-01, 3.500000e-02, 0.000000e+00, 1.564983e+00 
1.450000e-01, 3.500000e-02, 0.000000e+00, 1.564524e+00 
1.550000e-01, 3.500000e-02, 0.000000e+00, 1.563920e+00 
1.650000e-01, 3.500000e-02, 0.000000e+00, 1.562539e+00 
1.750000e-01, 3.500000e-02, 0.000000e+00, 1.560951e+00 
1.850000e-01, 3.500000e-02, 0.000000e+00, 1.559221e+00 
1.950000e-01, 3.500000e-02, 0.000000e+00, 1.557225e+00 
2.050000e-01, 3.500000e-02, 0.000000e+00, 1.554967e+00 
2.150000e-01, 3.500000e-02, 0.000000e+00, 1.552487e+00 
2.250000e-01, 3.500000e-02, 0.000000e+00, 1.549833e+00 
2.350000e-01, 3.500000e-02, 0.000000e+00, 1.547094e+00 
2.450000e-01, 3.500000e-02, 0.000000e+00, 1.544539e+00 
2.550000e-01, 3.500000e-02, 0.000000e+00, 1.543178e+00 
2.650000e-01, 3.500000e-02, 0.000000e+00, 1.542262e+00 
2.750000e-01, 3.500000e-02, 0.000000e+00, 1.541668e+00 
2.850000e-01, 3.500000e-02, 0.000000e+00, 1.541332e+00 
2.950000e-01, 3.500000e-02, 0.000000e+00, 1.541299e+00 
3.050000e-01, 3.500000e-02, 0.000000e+00, 1.541640e+00 
3.150000e-01, 3.500000e-02, 0.000000e+00, 1.542379e+00 
3.250000e-01, 3.500000e-02, 0.000000e+00, 1.543506e+00 
3.350000e-01, 3.500000e-02, 0.000000e+00, 1.544601e+00 
3.450000e-01, 3.500000e-02, 0.000000e+00, 1.545806e+00 
3.550000e-01, 3.500000e-02, 0.000000e+00, 1.547113e+00 
3.650000e-01, 3.500000e-02, 0.000000e+00, 1.548481e+00 
3.750000e-01, 3.500000e-02, 0.000000e+00, 1.549878e+00 
3.850000e-01, 3.500000e-02, 0.000000e+00, 1.551290e+00 
3.950000e-01, 3.500000e-02, 0.000000e+00, 1.552714e+00 
4.050000e-01, 3.500000e-02, 0.000000e+00, 1.554144e+00 
4.150000e-01, 3.500000e-02, 0.000000e+00, 1.555574e+00 
4.250000e-01, 3.500000e-02, 0.000000e+00, 1.556997e+00 
4.350000e-01, 3.500000e-02, 0.000000e+00, 1.558410e+00 
4.450000e-01, 3.500000e-02, 0.000000e+00, 1.559810e+00 
4.550000e-01, 3.500000e-02, 0.000000e+00, 1.561197e+00 
4.650000e-01, 3.500000e-02, 0.000000e+00, 1.562571e+00 
4.750000e-01, 3.500000e-02, 0.000000e+00, 1.563951e+00 
4.850000e-01, 3.500000e-02, 0.000000e+00, 1.565328e+00 
4.950000e-01, 3.500000e-02, 0.000000e+00, 1.566697e+00 
5.050000e-01, 3.500000e-02, 0.000000e+00, 1.568052e+00 
5.150000e-01, 3.500000e-02, 0.000000e+00, 1.569395e+00 
5.250000e-01, 3.500000e-02, 0.000000e+00, 1.570724e+00 
5.350000e-01, 3.500000e-02, 0.000000e+00, 1.572042e+00 
5.450000e-01, 3.500000e-02, 0.000000e+00, 1.573349e+00 
5.550000e-01, 3.500000e-02, 0.000000e+00, 1.574648e+00 
5.650000e-01, 3.500000e-02, 0.000000e+00, 1.575938e+00 
5.750000e-01, 3.500000e-02, 0.000000e+00, 1.577221e+00 
5.850000e-01, 3.500000e-02, 0.000000e+00, 1.578494e+00 
5.950000e-01, 3.500000e-02, 0.000000e+00, 1.579759e+00 
6.050000e-01, 3.500000e-02, 0.000000e+00, 1.581012e+00 
6.150000e-01, 3.500000e-02, 0.000000e+00, 1.582252e+00 
6.250000e-01, 3.500000e-02, 0.000000e+00, 1.583479e+00 
6.350000e-01, 3.500000e-02, 0.000000e+00, 1.584689e+00 
6.450000e-01, 3.500000e-02, 0.000000e+00, 1.585880e+00 
6.550000e-01, 3.500000e-02, 0.000000e+00, 1.587048e+00 
6.650000e-01, 3.500000e-02, 0.000000e+00, 1.588190e+00 
6.750000e-01, 3.500000e-02, 0.000000e+00, 1.589305e+00 
6.850000e-01, 3.500000e-02, 0.000000e+00, 1.590396e+00 
6.950000e-01, 3.500000e-02, 0.000000e+00, 1.591475e+00 
7.050000e-01, 3.500000e-02, 0.000000e+00, 1.592564e+00 
7.150000e-01, 3.500000e-02, 0.000000e+00, 1.593684e+00 
7.250000e-01, 3.500000e-02, 0.000000e+00, 1.594735e+00 
7.350000e-01, 3.500000e-02, 0.000000e+00, 1.595710e+00 
7.450000e-01, 3.500000e-02, 0.000000e+00, 1.596666e+00 
7.550000e-01, 3.500000e-02, 0.000000e+00, 1.597622e+00 
7.650000e-01, 3.500000e-02, 0.000000e+00, 1.598579e+00 
7.750000e-01, 3.500000e-02, 0.000000e+00, 1.599529e+00 
7.850000e-01, 3.500000e-02, 0.000000e+00, 1.600461e+00 
7.950000e-01, 3.500000e-02, 0.000000e+00, 1.601366e+00 
8.050000e-01, 3.500000e-02, 0.000000e+00, 1.602234e+00 
8.150000e-01, 3.500000e-02, 0.000000e+00, 1.603057e+00 
8.250000e-01, 3.500000e-02, 0.000000e+00, 1.603831e+00 
8.350000e-01, 3.500000e-02, 0.000000e+00, 1.604558e+00 
8.450000e-01, 3.500000e-02, 0.000000e+00, 1.605238e+00 
8.550000e-01, 3.500000e-02, 0.000000e+00, 1.605877e+00 
8.650000e-01, 3.500000e-02, 0.000000e+00, 1.606481e+00 
8.750000e-01, 3.500000e-02, 0.000000e+00, 1.607055e+00 
8.850000e-01, 3.500000e-02, 0.000000e+00, 1.607607e+00 
8.950000e-01, 3.500000e-02, 0.000000e+00, 1.608142e+00 
9.050000e-01, 3.500000e-02, 0.000000e+00, 1.608666e+00 
9.150000e-01, 3.500000e-02, 0.000000e+00, 1.609178e+00 
9.250000e-01, 3.500000e-02, 0.000000e+00, 1.609672e+00 
9.350000e-01, 3.500000e-02, 0.000000e+00, 1.610135e+00 
9.450000e-01, 3.500000e-02, 0.000000e+00, 1.610550e+00 
9.550000e-01, 3.500000e-02, 0.000000e+00, 1.610899e+00 
9.650000e-01, 3.500000e-02, 0.000000e+00, 1.611197e+00 
9.750000e-01, 3.500000e-02, 0.000000e+00, 1.611622e+00 
9.850000e-01, 3.500000e-02, 0.000000e+00, 1.611944e+00 
9.950000e-01, 3.500000e-02, 0.000000e+00, 1.612103e+00 
1.005000e+00, 3.500000e-02, 0.000000e+00, 1.612149e+00 
1.015000e+00, 3.500000e-02, 0.000000e+00, 1.612112e+00 
1.025000e+00, 3.500000e-02, 0.000000e+00, 1.611998e+00 
1.035000e+00, 3.500000e-02, 0.000000e+00, 1.611807e+00 
1.045000e+00, 3.500000e-02, 0.000000e+00, 1.611538e+00 
1.055000e+00, 3.500000e-02, 0.000000e+00, 1.611195e+00 
1.065000e+00, 3.500000e-02, 0.000000e+00, 1.610783e+00 
1.075000e+00, 3.500000e-02, 0.000000e+00, 1.610312e+00 
1.085000e+00, 3.500000e-02, 0.000000e+00, 1.609786e+00 
1.095000e+00, 3.500000e-02, 0.000000e+00, 1.609209e+00 
1.105000e+00, 3.500000e-02, 0.000000e+00, 1.608579e+00 
1.115000e+00, 3.500000e-02, 0.000000e+00, 1.607890e+00 
1.125000e+00, 3.500000e-02, 0.000000e+00, 1.607136e+00 
1.135000e+00, 3.500000e-02, 0.000000e+00, 1.606312e+00 
1.145000e+00, 3.500000e-02, 0.000000e+00, 1.605422e+00 
1.155000e+00, 3.500000e-02, 0.000000e+00, 1.604479e+00 
1.165000e+00, 3.500000e-02, 0.000000e+00, 1.603512e+00 
1.175000e+00, 3.500000e-02, 0.000000e+00, 1.602542e+00 
1.185000e+00, 3.500000e-02, 0.000000e+00, 1.601570e+00 
1.195000e+00, 3.500000e-02, 0.000000e+00, 1.600576e+00 
1.205000e+00, 3.500000e-02, 0.000000e+00, 1.599527e+00 
