#t, p1, p2, mob_A, imm_A, diss_A, seal_A, mob_B, imm_B, diss_B, seal_B, M_C, totM_co2 
1.200e+04,112900.000000,107000.000000,0.000731,0.000205,0.002223,0.000893,0.000000,0.000000,0.000000,0.000000,1.716990,0.004750
1.230e+04,113100.000000,107200.000000,0.000747,0.000217,0.002293,0.000941,0.000000,0.000000,0.000000,0.000000,1.715310,0.004930
1.260e+04,113200.000000,107300.000000,0.000768,0.000222,0.002349,0.000964,0.000000,0.000000,0.000000,0.000000,1.698760,0.005110
1.290e+04,113400.000000,107500.000000,0.000934,0.000227,0.002421,0.001003,0.000000,0.000000,0.000000,0.000000,1.699850,0.005280
1.320e+04,113600.000000,107700.000000,0.001140,0.000232,0.002495,0.001041,0.000000,0.000000,0.000000,0.000000,1.676830,0.005460
1.350e+04,113800.000000,107900.000000,0.001124,0.000241,0.002574,0.001078,0.000000,0.000000,0.000000,0.000000,1.672570,0.005640
1.380e+04,113900.000000,108000.000000,0.001162,0.000253,0.002652,0.001127,0.000000,0.000000,0.000000,0.000000,1.640310,0.005820
1.410e+04,113900.000000,108000.000000,0.001080,0.000266,0.002727,0.001170,0.000000,0.000000,0.000000,0.000000,1.618700,0.005990
1.440e+04,113900.000000,108000.000000,0.001062,0.000272,0.002786,0.001195,0.000000,0.000000,0.000000,0.000000,1.564310,0.006170
1.470e+04,113900.000000,108000.000000,0.000629,0.000291,0.002859,0.001226,0.000000,0.000000,0.000000,0.000000,1.531740,0.006350
1.500e+04,113900.000000,108000.000000,0.000792,0.000295,0.002933,0.001258,0.000000,0.000000,0.000000,0.000000,1.532050,0.006530
1.530e+04,113900.000000,108000.000000,0.000896,0.000301,0.003010,0.001292,0.000000,0.000000,0.000000,0.000000,1.509670,0.006700
1.560e+04,113900.000000,108000.000000,0.000948,0.000309,0.003089,0.001332,0.000000,0.000000,0.000000,0.000000,1.482110,0.006880
1.590e+04,113900.000000,108000.000000,0.001114,0.000317,0.003173,0.001381,0.000000,0.000000,0.000000,0.000000,1.492810,0.007060
1.620e+04,113900.000000,108000.000000,0.001177,0.000324,0.003239,0.001414,0.000000,0.000000,0.000000,0.000000,1.494570,0.007230
