x,z,saturation,concentration
0.005, 0.005, 0.000, 0.000
0.015, 0.005, 0.000, 0.000
0.025, 0.005, 0.000, 0.000
0.035, 0.005, 0.000, 0.000
0.045, 0.005, 0.000, 0.000
0.055, 0.005, 0.000, 0.000
0.065, 0.005, 0.000, 0.000
0.075, 0.005, 0.000, 0.000
0.085, 0.005, 0.000, 0.000
0.095, 0.005, 0.000, 0.000
0.105, 0.005, 0.000, 0.000
0.115, 0.005, 0.000, 0.000
0.125, 0.005, 0.000, 0.000
0.135, 0.005, 0.000, 0.000
0.145, 0.005, 0.000, 0.000
0.155, 0.005, 0.000, 0.000
0.165, 0.005, 0.000, 0.000
0.175, 0.005, 0.000, 0.000
0.185, 0.005, 0.000, 0.000
0.195, 0.005, 0.000, 0.000
0.205, 0.005, 0.000, 0.000
0.215, 0.005, 0.000, 0.000
0.225, 0.005, 0.000, 0.000
0.235, 0.005, 0.000, 0.000
0.245, 0.005, 0.000, 0.001
0.255, 0.005, 0.000, 0.001
0.265, 0.005, 0.000, 0.006
0.275, 0.005, 0.000, 0.006
0.285, 0.005, 0.000, 0.022
0.295, 0.005, 0.000, 0.022
0.305, 0.005, 0.000, 0.058
0.315, 0.005, 0.000, 0.058
0.325, 0.005, 0.000, 0.129
0.335, 0.005, 0.000, 0.129
0.345, 0.005, 0.000, 0.254
0.355, 0.005, 0.000, 0.254
0.365, 0.005, 0.000, 0.427
0.375, 0.005, 0.000, 0.427
0.385, 0.005, 0.000, 0.611
0.395, 0.005, 0.000, 0.611
0.405, 0.005, 0.000, 0.760
0.415, 0.005, 0.000, 0.760
0.425, 0.005, 0.000, 0.848
0.435, 0.005, 0.000, 0.848
0.445, 0.005, 0.000, 0.492
0.455, 0.005, 0.000, 0.492
0.465, 0.005, 0.000, 0.273
0.475, 0.005, 0.000, 0.273
0.485, 0.005, 0.000, 0.124
0.495, 0.005, 0.000, 0.124
0.505, 0.005, 0.000, 0.037
0.515, 0.005, 0.000, 0.037
0.525, 0.005, 0.000, 0.214
0.535, 0.005, 0.000, 0.214
0.545, 0.005, 0.000, 0.563
0.555, 0.005, 0.000, 0.563
0.565, 0.005, 0.000, 0.751
0.575, 0.005, 0.000, 0.751
0.585, 0.005, 0.000, 0.878
0.595, 0.005, 0.000, 0.878
0.605, 0.005, 0.000, 0.974
0.615, 0.005, 0.000, 0.974
0.625, 0.005, 0.000, 1.047
0.635, 0.005, 0.000, 1.047
0.645, 0.005, 0.000, 1.103
0.655, 0.005, 0.000, 1.103
0.665, 0.005, 0.000, 1.150
0.675, 0.005, 0.000, 1.150
0.685, 0.005, 0.000, 1.194
0.695, 0.005, 0.000, 1.194
0.705, 0.005, 0.000, 1.233
0.715, 0.005, 0.000, 1.233
0.725, 0.005, 0.000, 1.268
0.735, 0.005, 0.000, 1.268
0.745, 0.005, 0.000, 1.299
0.755, 0.005, 0.000, 1.299
0.765, 0.005, 0.000, 1.326
0.775, 0.005, 0.000, 1.326
0.785, 0.005, 0.000, 1.348
0.795, 0.005, 0.000, 1.348
0.805, 0.005, 0.000, 1.365
0.815, 0.005, 0.000, 1.365
0.825, 0.005, 0.000, 1.326
0.835, 0.005, 0.000, 1.326
0.845, 0.005, 0.000, 1.357
0.855, 0.005, 0.000, 1.357
0.865, 0.005, 0.000, 1.360
0.875, 0.005, 0.000, 1.360
0.885, 0.005, 0.000, 1.355
0.895, 0.005, 0.000, 1.355
0.905, 0.005, 0.000, 1.345
0.915, 0.005, 0.000, 1.345
0.925, 0.005, 0.000, 1.333
0.935, 0.005, 0.000, 1.333
0.945, 0.005, 0.000, 1.318
0.955, 0.005, 0.000, 1.318
0.965, 0.005, 0.000, 1.299
0.975, 0.005, 0.000, 1.299
0.985, 0.005, 0.000, 1.278
0.995, 0.005, 0.000, 1.278
1.005, 0.005, 0.000, 1.252
1.015, 0.005, 0.000, 1.252
1.025, 0.005, 0.000, 1.222
1.035, 0.005, 0.000, 1.222
1.045, 0.005, 0.000, 1.187
1.055, 0.005, 0.000, 1.187
1.065, 0.005, 0.000, 1.145
1.075, 0.005, 0.000, 1.145
1.085, 0.005, 0.000, 1.096
1.095, 0.005, 0.000, 1.096
1.105, 0.005, 0.000, 1.036
1.115, 0.005, 0.000, 1.036
1.125, 0.005, 0.000, 0.966
1.135, 0.005, 0.000, 0.966
1.145, 0.005, 0.000, 0.882
1.155, 0.005, 0.000, 0.882
1.165, 0.005, 0.000, 0.782
1.175, 0.005, 0.000, 0.782
1.185, 0.005, 0.000, 0.661
1.195, 0.005, 0.000, 0.661
1.205, 0.005, 0.000, 0.516
1.215, 0.005, 0.000, 0.516
1.225, 0.005, 0.000, 0.350
1.235, 0.005, 0.000, 0.350
1.245, 0.005, 0.000, 0.192
1.255, 0.005, 0.000, 0.192
1.265, 0.005, 0.000, 0.078
1.275, 0.005, 0.000, 0.078
1.285, 0.005, 0.000, 0.022
1.295, 0.005, 0.000, 0.022
1.305, 0.005, 0.000, 0.004
1.315, 0.005, 0.000, 0.004
1.325, 0.005, 0.000, 0.001
1.335, 0.005, 0.000, 0.001
1.345, 0.005, 0.000, 0.000
1.355, 0.005, 0.000, 0.000
1.365, 0.005, 0.000, 0.000
1.375, 0.005, 0.000, 0.000
1.385, 0.005, 0.000, 0.000
1.395, 0.005, 0.000, 0.000
1.405, 0.005, 0.000, 0.000
1.415, 0.005, 0.000, 0.000
1.425, 0.005, 0.000, 0.000
1.435, 0.005, 0.000, 0.000
1.445, 0.005, 0.000, 0.000
1.455, 0.005, 0.000, 0.000
1.465, 0.005, 0.000, 0.000
1.475, 0.005, 0.000, 0.000
1.485, 0.005, 0.000, 0.000
1.495, 0.005, 0.000, 0.000
1.505, 0.005, 0.000, 0.000
1.515, 0.005, 0.000, 0.000
1.525, 0.005, 0.000, 0.000
1.535, 0.005, 0.000, 0.000
1.545, 0.005, 0.000, 0.000
1.555, 0.005, 0.000, 0.000
1.565, 0.005, 0.000, 0.000
1.575, 0.005, 0.000, 0.000
1.585, 0.005, 0.000, 0.000
1.595, 0.005, 0.000, 0.000
1.605, 0.005, 0.000, 0.000
1.615, 0.005, 0.000, 0.000
1.625, 0.005, 0.000, 0.000
1.635, 0.005, 0.000, 0.000
1.645, 0.005, 0.000, 0.000
1.655, 0.005, 0.000, 0.000
1.665, 0.005, 0.000, 0.000
1.675, 0.005, 0.000, 0.000
1.685, 0.005, 0.000, 0.000
1.695, 0.005, 0.000, 0.000
1.705, 0.005, 0.000, 0.000
1.715, 0.005, 0.000, 0.000
1.725, 0.005, 0.000, 0.000
1.735, 0.005, 0.000, 0.000
1.745, 0.005, 0.000, 0.000
1.755, 0.005, 0.000, 0.000
1.765, 0.005, 0.000, 0.000
1.775, 0.005, 0.000, 0.000
1.785, 0.005, 0.000, 0.000
1.795, 0.005, 0.000, 0.000
1.805, 0.005, 0.000, 0.000
1.815, 0.005, 0.000, 0.000
1.825, 0.005, 0.000, 0.000
1.835, 0.005, 0.000, 0.000
1.845, 0.005, 0.000, 0.000
1.855, 0.005, 0.000, 0.000
1.865, 0.005, 0.000, 0.000
1.875, 0.005, 0.000, 0.000
1.885, 0.005, 0.000, 0.000
1.895, 0.005, 0.000, 0.000
1.905, 0.005, 0.000, 0.000
1.915, 0.005, 0.000, 0.000
1.925, 0.005, 0.000, 0.000
1.935, 0.005, 0.000, 0.000
1.945, 0.005, 0.000, 0.000
1.955, 0.005, 0.000, 0.000
1.965, 0.005, 0.000, 0.000
1.975, 0.005, 0.000, 0.000
1.985, 0.005, 0.000, 0.000
1.995, 0.005, 0.000, 0.000
2.005, 0.005, 0.000, 0.000
2.015, 0.005, 0.000, 0.000
2.025, 0.005, 0.000, 0.000
