x,z,saturation,concentration
0.005, 0.005, 0.000, 0.628
0.015, 0.005, 0.000, 0.628
0.025, 0.005, 0.000, 0.701
0.035, 0.005, 0.000, 0.701
0.045, 0.005, 0.000, 0.732
0.055, 0.005, 0.000, 0.732
0.065, 0.005, 0.000, 0.751
0.075, 0.005, 0.000, 0.751
0.085, 0.005, 0.000, 0.765
0.095, 0.005, 0.000, 0.765
0.105, 0.005, 0.000, 0.775
0.115, 0.005, 0.000, 0.775
0.125, 0.005, 0.000, 0.782
0.135, 0.005, 0.000, 0.782
0.145, 0.005, 0.000, 0.787
0.155, 0.005, 0.000, 0.787
0.165, 0.005, 0.000, 0.789
0.175, 0.005, 0.000, 0.789
0.185, 0.005, 0.000, 0.791
0.195, 0.005, 0.000, 0.791
0.205, 0.005, 0.000, 0.792
0.215, 0.005, 0.000, 0.792
0.225, 0.005, 0.000, 0.795
0.235, 0.005, 0.000, 0.795
0.245, 0.005, 0.000, 0.803
0.255, 0.005, 0.000, 0.803
0.265, 0.005, 0.000, 0.817
0.275, 0.005, 0.000, 0.817
0.285, 0.005, 0.000, 0.832
0.295, 0.005, 0.000, 0.832
0.305, 0.005, 0.000, 0.849
0.315, 0.005, 0.000, 0.849
0.325, 0.005, 0.000, 0.873
0.335, 0.005, 0.000, 0.873
0.345, 0.005, 0.000, 0.906
0.355, 0.005, 0.000, 0.906
0.365, 0.005, 0.000, 0.960
0.375, 0.005, 0.000, 0.960
0.385, 0.005, 0.000, 1.017
0.395, 0.005, 0.000, 1.017
0.405, 0.005, 0.000, 1.068
0.415, 0.005, 0.000, 1.068
0.425, 0.005, 0.000, 1.107
0.435, 0.005, 0.000, 1.107
0.445, 0.005, 0.000, 1.134
0.455, 0.005, 0.000, 1.134
0.465, 0.005, 0.000, 1.158
0.475, 0.005, 0.000, 1.158
0.485, 0.005, 0.000, 1.180
0.495, 0.005, 0.000, 1.180
0.505, 0.005, 0.000, 1.199
0.515, 0.005, 0.000, 1.199
0.525, 0.005, 0.000, 1.218
0.535, 0.005, 0.000, 1.218
0.545, 0.005, 0.000, 1.234
0.555, 0.005, 0.000, 1.234
0.565, 0.005, 0.000, 1.250
0.575, 0.005, 0.000, 1.250
0.585, 0.005, 0.000, 1.265
0.595, 0.005, 0.000, 1.265
0.605, 0.005, 0.000, 1.279
0.615, 0.005, 0.000, 1.279
0.625, 0.005, 0.000, 1.290
0.635, 0.005, 0.000, 1.290
0.645, 0.005, 0.000, 1.298
0.655, 0.005, 0.000, 1.298
0.665, 0.005, 0.000, 1.301
0.675, 0.005, 0.000, 1.301
0.685, 0.005, 0.000, 1.300
0.695, 0.005, 0.000, 1.300
0.705, 0.005, 0.000, 1.297
0.715, 0.005, 0.000, 1.297
0.725, 0.005, 0.000, 1.293
0.735, 0.005, 0.000, 1.293
0.745, 0.005, 0.000, 1.287
0.755, 0.005, 0.000, 1.287
0.765, 0.005, 0.000, 1.280
0.775, 0.005, 0.000, 1.280
0.785, 0.005, 0.000, 1.271
0.795, 0.005, 0.000, 1.271
0.805, 0.005, 0.000, 1.262
0.815, 0.005, 0.000, 1.262
0.825, 0.005, 0.000, 1.253
0.835, 0.005, 0.000, 1.253
0.845, 0.005, 0.000, 1.244
0.855, 0.005, 0.000, 1.244
0.865, 0.005, 0.000, 1.235
0.875, 0.005, 0.000, 1.235
0.885, 0.005, 0.000, 1.225
0.895, 0.005, 0.000, 1.225
0.905, 0.005, 0.000, 1.212
0.915, 0.005, 0.000, 1.212
0.925, 0.005, 0.000, 1.194
0.935, 0.005, 0.000, 1.194
0.945, 0.005, 0.000, 1.174
0.955, 0.005, 0.000, 1.174
0.965, 0.005, 0.000, 1.160
0.975, 0.005, 0.000, 1.160
0.985, 0.005, 0.000, 1.150
0.995, 0.005, 0.000, 1.150
1.005, 0.005, 0.000, 1.140
1.015, 0.005, 0.000, 1.140
1.025, 0.005, 0.000, 1.134
1.035, 0.005, 0.000, 1.134
1.045, 0.005, 0.000, 1.138
1.055, 0.005, 0.000, 1.138
1.065, 0.005, 0.000, 1.138
1.075, 0.005, 0.000, 1.138
1.085, 0.005, 0.000, 1.142
1.095, 0.005, 0.000, 1.142
1.105, 0.005, 0.000, 1.145
1.115, 0.005, 0.000, 1.145
1.125, 0.005, 0.000, 1.146
1.135, 0.005, 0.000, 1.146
1.145, 0.005, 0.000, 1.147
1.155, 0.005, 0.000, 1.147
1.165, 0.005, 0.000, 1.148
1.175, 0.005, 0.000, 1.148
1.185, 0.005, 0.000, 1.147
1.195, 0.005, 0.000, 1.147
1.205, 0.005, 0.000, 1.145
1.215, 0.005, 0.000, 1.145
1.225, 0.005, 0.000, 1.141
1.235, 0.005, 0.000, 1.141
1.245, 0.005, 0.000, 1.134
1.255, 0.005, 0.000, 1.134
1.265, 0.005, 0.000, 1.125
1.275, 0.005, 0.000, 1.125
1.285, 0.005, 0.000, 1.114
1.295, 0.005, 0.000, 1.114
1.305, 0.005, 0.000, 1.100
1.315, 0.005, 0.000, 1.100
1.325, 0.005, 0.000, 1.083
1.335, 0.005, 0.000, 1.083
1.345, 0.005, 0.000, 1.060
1.355, 0.005, 0.000, 1.060
1.365, 0.005, 0.000, 1.032
1.375, 0.005, 0.000, 1.032
1.385, 0.005, 0.000, 0.987
1.395, 0.005, 0.000, 0.987
1.405, 0.005, 0.000, 0.972
1.415, 0.005, 0.000, 0.972
1.425, 0.005, 0.000, 0.966
1.435, 0.005, 0.000, 0.966
1.445, 0.005, 0.000, 0.956
1.455, 0.005, 0.000, 0.956
1.465, 0.005, 0.000, 0.944
1.475, 0.005, 0.000, 0.944
1.485, 0.005, 0.000, 0.941
1.495, 0.005, 0.000, 0.941
1.505, 0.005, 0.000, 0.926
1.515, 0.005, 0.000, 0.926
1.525, 0.005, 0.000, 0.892
1.535, 0.005, 0.000, 0.892
1.545, 0.005, 0.000, 0.833
1.555, 0.005, 0.000, 0.833
1.565, 0.005, 0.000, 0.753
1.575, 0.005, 0.000, 0.753
1.585, 0.005, 0.000, 0.655
1.595, 0.005, 0.000, 0.655
1.605, 0.005, 0.000, 0.532
1.615, 0.005, 0.000, 0.532
1.625, 0.005, 0.000, 0.351
1.635, 0.005, 0.000, 0.351
1.645, 0.005, 0.000, 0.255
1.655, 0.005, 0.000, 0.255
1.665, 0.005, 0.000, 0.292
1.675, 0.005, 0.000, 0.292
1.685, 0.005, 0.000, 0.331
1.695, 0.005, 0.000, 0.331
1.705, 0.005, 0.000, 0.360
1.715, 0.005, 0.000, 0.360
1.725, 0.005, 0.000, 0.386
1.735, 0.005, 0.000, 0.386
1.745, 0.005, 0.000, 0.417
1.755, 0.005, 0.000, 0.417
1.765, 0.005, 0.000, 0.458
1.775, 0.005, 0.000, 0.458
1.785, 0.005, 0.000, 0.513
1.795, 0.005, 0.000, 0.513
1.805, 0.005, 0.000, 0.574
1.815, 0.005, 0.000, 0.574
1.825, 0.005, 0.000, 0.639
1.835, 0.005, 0.000, 0.639
1.845, 0.005, 0.000, 0.731
1.855, 0.005, 0.000, 0.731
1.865, 0.005, 0.000, 0.597
1.875, 0.005, 0.000, 0.597
1.885, 0.005, 0.000, 0.513
1.895, 0.005, 0.000, 0.513
1.905, 0.005, 0.000, 0.490
1.915, 0.005, 0.000, 0.490
1.925, 0.005, 0.000, 0.510
1.935, 0.005, 0.000, 0.510
1.945, 0.005, 0.000, 0.530
1.955, 0.005, 0.000, 0.530
1.965, 0.005, 0.000, 0.536
1.975, 0.005, 0.000, 0.536
1.985, 0.005, 0.000, 0.532
1.995, 0.005, 0.000, 0.532
2.005, 0.005, 0.000, 0.527
2.015, 0.005, 0.000, 0.527
2.025, 0.005, 0.000, 0.521
2.035, 0.005, 0.000, 0.521
2.045, 0.005, 0.000, 0.494
2.055, 0.005, 0.000, 0.494
2.065, 0.005, 0.000, 0.441
2.075, 0.005, 0.000, 0.441
2.085, 0.005, 0.000, 0.479
2.095, 0.005, 0.000, 0.479
2.105, 0.005, 0.000, 0.570
2.115, 0.005, 0.000, 0.570
2.125, 0.005, 0.000, 0.551
2.135, 0.005, 0.000, 0.551
2.145, 0.005, 0.000, 0.529
2.155, 0.005, 0.000, 0.529
2.165, 0.005, 0.000, 0.506
2.175, 0.005, 0.000, 0.506
2.185, 0.005, 0.000, 0.483
2.195, 0.005, 0.000, 0.483
2.205, 0.005, 0.000, 0.457
2.215, 0.005, 0.000, 0.457
2.225, 0.005, 0.000, 0.429
2.235, 0.005, 0.000, 0.429
2.245, 0.005, 0.000, 0.399
2.255, 0.005, 0.000, 0.399
2.265, 0.005, 0.000, 0.360
2.275, 0.005, 0.000, 0.360
2.285, 0.005, 0.000, 0.374
2.295, 0.005, 0.000, 0.374
2.305, 0.005, 0.000, 0.512
2.315, 0.005, 0.000, 0.512
2.325, 0.005, 0.000, 0.604
2.335, 0.005, 0.000, 0.604
2.345, 0.005, 0.000, 0.628
2.355, 0.005, 0.000, 0.628
2.365, 0.005, 0.000, 0.619
2.375, 0.005, 0.000, 0.619
2.385, 0.005, 0.000, 0.606
2.395, 0.005, 0.000, 0.606
2.405, 0.005, 0.000, 0.593
2.415, 0.005, 0.000, 0.593
2.425, 0.005, 0.000, 0.579
2.435, 0.005, 0.000, 0.579
2.445, 0.005, 0.000, 0.556
2.455, 0.005, 0.000, 0.556
2.465, 0.005, 0.000, 0.515
2.475, 0.005, 0.000, 0.515
2.485, 0.005, 0.000, 0.464
2.495, 0.005, 0.000, 0.464
2.505, 0.005, 0.000, 0.419
2.515, 0.005, 0.000, 0.419
2.525, 0.005, 0.000, 0.383
2.535, 0.005, 0.000, 0.383
2.545, 0.005, 0.000, 0.348
2.555, 0.005, 0.000, 0.348
2.565, 0.005, 0.000, 0.299
2.575, 0.005, 0.000, 0.299
2.585, 0.005, 0.000, 0.232
2.595, 0.005, 0.000, 0.232
2.605, 0.005, 0.000, 0.186
2.615, 0.005, 0.000, 0.186
2.625, 0.005, 0.000, 0.211
2.635, 0.005, 0.000, 0.211
2.645, 0.005, 0.000, 0.324
2.655, 0.005, 0.000, 0.324
2.665, 0.005, 0.000, 0.303
2.675, 0.005, 0.000, 0.303
2.685, 0.005, 0.000, 0.309
2.695, 0.005, 0.000, 0.309
2.705, 0.005, 0.000, 0.272
2.715, 0.005, 0.000, 0.272
2.725, 0.005, 0.000, 0.206
2.735, 0.005, 0.000, 0.206
2.745, 0.005, 0.000, 0.269
2.755, 0.005, 0.000, 0.269
2.765, 0.005, 0.000, 0.219
2.775, 0.005, 0.000, 0.219
2.785, 0.005, 0.000, 0.141
2.795, 0.005, 0.000, 0.141
0.005, 0.015, 0.000, 0.538
0.015, 0.015, 0.000, 0.538
0.025, 0.015, 0.000, 0.701
0.035, 0.015, 0.000, 0.701
0.045, 0.015, 0.000, 0.732
0.055, 0.015, 0.000, 0.732
0.065, 0.015, 0.000, 0.751
0.075, 0.015, 0.000, 0.751
0.085, 0.015, 0.000, 0.765
0.095, 0.015, 0.000, 0.765
