x,z,saturation,concentration
0.005, 0.005, 0.000, 0.755
0.015, 0.005, 0.000, 0.755
0.025, 0.005, 0.000, 0.776
0.035, 0.005, 0.000, 0.776
0.045, 0.005, 0.000, 0.788
0.055, 0.005, 0.000, 0.788
0.065, 0.005, 0.000, 0.803
0.075, 0.005, 0.000, 0.803
0.085, 0.005, 0.000, 0.823
0.095, 0.005, 0.000, 0.823
0.105, 0.005, 0.000, 0.850
0.115, 0.005, 0.000, 0.850
0.125, 0.005, 0.000, 0.880
0.135, 0.005, 0.000, 0.880
0.145, 0.005, 0.000, 0.910
0.155, 0.005, 0.000, 0.910
0.165, 0.005, 0.000, 0.939
0.175, 0.005, 0.000, 0.939
0.185, 0.005, 0.000, 0.966
0.195, 0.005, 0.000, 0.966
0.205, 0.005, 0.000, 0.990
0.215, 0.005, 0.000, 0.990
0.225, 0.005, 0.000, 1.006
0.235, 0.005, 0.000, 1.006
0.245, 0.005, 0.000, 1.016
0.255, 0.005, 0.000, 1.016
0.265, 0.005, 0.000, 1.022
0.275, 0.005, 0.000, 1.022
0.285, 0.005, 0.000, 1.026
0.295, 0.005, 0.000, 1.026
0.305, 0.005, 0.000, 1.028
0.315, 0.005, 0.000, 1.028
0.325, 0.005, 0.000, 1.030
0.335, 0.005, 0.000, 1.030
0.345, 0.005, 0.000, 1.031
0.355, 0.005, 0.000, 1.031
0.365, 0.005, 0.000, 1.055
0.375, 0.005, 0.000, 1.055
0.385, 0.005, 0.000, 1.084
0.395, 0.005, 0.000, 1.084
0.405, 0.005, 0.000, 1.113
0.415, 0.005, 0.000, 1.113
0.425, 0.005, 0.000, 1.136
0.435, 0.005, 0.000, 1.136
0.445, 0.005, 0.000, 1.152
0.455, 0.005, 0.000, 1.152
0.465, 0.005, 0.000, 1.165
0.475, 0.005, 0.000, 1.165
0.485, 0.005, 0.000, 1.177
0.495, 0.005, 0.000, 1.177
0.505, 0.005, 0.000, 1.188
0.515, 0.005, 0.000, 1.188
0.525, 0.005, 0.000, 1.198
0.535, 0.005, 0.000, 1.198
0.545, 0.005, 0.000, 1.207
0.555, 0.005, 0.000, 1.207
0.565, 0.005, 0.000, 1.216
0.575, 0.005, 0.000, 1.216
0.585, 0.005, 0.000, 1.224
0.595, 0.005, 0.000, 1.224
0.605, 0.005, 0.000, 1.233
0.615, 0.005, 0.000, 1.233
0.625, 0.005, 0.000, 1.241
0.635, 0.005, 0.000, 1.241
0.645, 0.005, 0.000, 1.246
0.655, 0.005, 0.000, 1.246
0.665, 0.005, 0.000, 1.244
0.675, 0.005, 0.000, 1.244
0.685, 0.005, 0.000, 1.236
0.695, 0.005, 0.000, 1.236
0.705, 0.005, 0.000, 1.229
0.715, 0.005, 0.000, 1.229
0.725, 0.005, 0.000, 1.221
0.735, 0.005, 0.000, 1.221
0.745, 0.005, 0.000, 1.214
0.755, 0.005, 0.000, 1.214
0.765, 0.005, 0.000, 1.206
0.775, 0.005, 0.000, 1.206
0.785, 0.005, 0.000, 1.198
0.795, 0.005, 0.000, 1.198
0.805, 0.005, 0.000, 1.188
0.815, 0.005, 0.000, 1.188
0.825, 0.005, 0.000, 1.177
0.835, 0.005, 0.000, 1.177
0.845, 0.005, 0.000, 1.164
0.855, 0.005, 0.000, 1.164
0.865, 0.005, 0.000, 1.150
0.875, 0.005, 0.000, 1.150
0.885, 0.005, 0.000, 1.136
0.895, 0.005, 0.000, 1.136
0.905, 0.005, 0.000, 1.123
0.915, 0.005, 0.000, 1.123
0.925, 0.005, 0.000, 1.114
0.935, 0.005, 0.000, 1.114
0.945, 0.005, 0.000, 1.108
0.955, 0.005, 0.000, 1.108
0.965, 0.005, 0.000, 1.105
0.975, 0.005, 0.000, 1.105
0.985, 0.005, 0.000, 1.106
0.995, 0.005, 0.000, 1.106
1.005, 0.005, 0.000, 1.109
1.015, 0.005, 0.000, 1.109
1.025, 0.005, 0.000, 1.109
1.035, 0.005, 0.000, 1.109
