x,z,saturation,concentration
0.005, 0.005, 0.000, 0.729
0.015, 0.005, 0.000, 0.729
0.025, 0.005, 0.000, 0.759
0.035, 0.005, 0.000, 0.759
0.045, 0.005, 0.000, 0.771
0.055, 0.005, 0.000, 0.771
0.065, 0.005, 0.000, 0.778
0.075, 0.005, 0.000, 0.778
0.085, 0.005, 0.000, 0.784
0.095, 0.005, 0.000, 0.784
0.105, 0.005, 0.000, 0.792
0.115, 0.005, 0.000, 0.792
0.125, 0.005, 0.000, 0.804
0.135, 0.005, 0.000, 0.804
0.145, 0.005, 0.000, 0.823
0.155, 0.005, 0.000, 0.823
0.165, 0.005, 0.000, 0.848
0.175, 0.005, 0.000, 0.848
0.185, 0.005, 0.000, 0.877
0.195, 0.005, 0.000, 0.877
0.205, 0.005, 0.000, 0.909
0.215, 0.005, 0.000, 0.909
0.225, 0.005, 0.000, 0.937
0.235, 0.005, 0.000, 0.937
0.245, 0.005, 0.000, 0.960
0.255, 0.005, 0.000, 0.960
0.265, 0.005, 0.000, 0.978
0.275, 0.005, 0.000, 0.978
0.285, 0.005, 0.000, 0.989
0.295, 0.005, 0.000, 0.989
0.305, 0.005, 0.000, 0.998
0.315, 0.005, 0.000, 0.998
0.325, 0.005, 0.000, 1.007
0.335, 0.005, 0.000, 1.007
0.345, 0.005, 0.000, 1.016
0.355, 0.005, 0.000, 1.016
0.365, 0.005, 0.000, 1.048
0.375, 0.005, 0.000, 1.048
0.385, 0.005, 0.000, 1.083
0.395, 0.005, 0.000, 1.083
0.405, 0.005, 0.000, 1.116
0.415, 0.005, 0.000, 1.116
0.425, 0.005, 0.000, 1.143
0.435, 0.005, 0.000, 1.143
0.445, 0.005, 0.000, 1.162
0.455, 0.005, 0.000, 1.162
0.465, 0.005, 0.000, 1.178
0.475, 0.005, 0.000, 1.178
0.485, 0.005, 0.000, 1.192
0.495, 0.005, 0.000, 1.192
0.505, 0.005, 0.000, 1.205
0.515, 0.005, 0.000, 1.205
0.525, 0.005, 0.000, 1.217
0.535, 0.005, 0.000, 1.217
0.545, 0.005, 0.000, 1.228
0.555, 0.005, 0.000, 1.228
0.565, 0.005, 0.000, 1.238
0.575, 0.005, 0.000, 1.238
0.585, 0.005, 0.000, 1.248
0.595, 0.005, 0.000, 1.248
0.605, 0.005, 0.000, 1.257
0.615, 0.005, 0.000, 1.257
0.625, 0.005, 0.000, 1.265
0.635, 0.005, 0.000, 1.265
0.645, 0.005, 0.000, 1.270
0.655, 0.005, 0.000, 1.270
0.665, 0.005, 0.000, 1.268
0.675, 0.005, 0.000, 1.268
0.685, 0.005, 0.000, 1.262
0.695, 0.005, 0.000, 1.262
0.705, 0.005, 0.000, 1.256
0.715, 0.005, 0.000, 1.256
0.725, 0.005, 0.000, 1.249
0.735, 0.005, 0.000, 1.249
0.745, 0.005, 0.000, 1.243
0.755, 0.005, 0.000, 1.243
0.765, 0.005, 0.000, 1.236
0.775, 0.005, 0.000, 1.236
0.785, 0.005, 0.000, 1.230
0.795, 0.005, 0.000, 1.230
0.805, 0.005, 0.000, 1.223
0.815, 0.005, 0.000, 1.223
0.825, 0.005, 0.000, 1.216
0.835, 0.005, 0.000, 1.216
0.845, 0.005, 0.000, 1.206
0.855, 0.005, 0.000, 1.206
0.865, 0.005, 0.000, 1.193
0.875, 0.005, 0.000, 1.193
0.885, 0.005, 0.000, 1.176
0.895, 0.005, 0.000, 1.176
0.905, 0.005, 0.000, 1.158
0.915, 0.005, 0.000, 1.158
0.925, 0.005, 0.000, 1.141
0.935, 0.005, 0.000, 1.141
0.945, 0.005, 0.000, 1.127
0.955, 0.005, 0.000, 1.127
0.965, 0.005, 0.000, 1.116
0.975, 0.005, 0.000, 1.116
0.985, 0.005, 0.000, 1.110
0.995, 0.005, 0.000, 1.110
1.005, 0.005, 0.000, 1.109
1.015, 0.005, 0.000, 1.109
1.025, 0.005, 0.000, 1.112
1.035, 0.005, 0.000, 1.112
1.045, 0.005, 0.000, 1.117
1.055, 0.005, 0.000, 1.117
1.065, 0.005, 0.000, 1.107
1.075, 0.005, 0.000, 1.107
1.085, 0.005, 0.000, 1.102
1.095, 0.005, 0.000, 1.102
1.105, 0.005, 0.000, 1.103
1.115, 0.005, 0.000, 1.103
1.125, 0.005, 0.000, 1.107
1.135, 0.005, 0.000, 1.107
1.145, 0.005, 0.000, 1.112
1.155, 0.005, 0.000, 1.112
1.165, 0.005, 0.000, 1.115
1.175, 0.005, 0.000, 1.115
1.185, 0.005, 0.000, 1.117
1.195, 0.005, 0.000, 1.117
1.205, 0.005, 0.000, 1.110
1.215, 0.005, 0.000, 1.110
1.225, 0.005, 0.000, 1.106
1.235, 0.005, 0.000, 1.106
1.245, 0.005, 0.000, 1.100
1.255, 0.005, 0.000, 1.100
1.265, 0.005, 0.000, 1.091
1.275, 0.005, 0.000, 1.091
1.285, 0.005, 0.000, 1.080
1.295, 0.005, 0.000, 1.080
1.305, 0.005, 0.000, 1.071
1.315, 0.005, 0.000, 1.071
1.325, 0.005, 0.000, 1.060
1.335, 0.005, 0.000, 1.060
1.345, 0.005, 0.000, 1.033
1.355, 0.005, 0.000, 1.033
1.365, 0.005, 0.000, 1.026
1.375, 0.005, 0.000, 1.026
1.385, 0.005, 0.000, 1.023
1.395, 0.005, 0.000, 1.023
1.405, 0.005, 0.000, 1.009
1.415, 0.005, 0.000, 1.009
1.425, 0.005, 0.000, 0.991
1.435, 0.005, 0.000, 0.991
1.445, 0.005, 0.000, 0.974
1.455, 0.005, 0.000, 0.974
1.465, 0.005, 0.000, 0.960
1.475, 0.005, 0.000, 0.960
1.485, 0.005, 0.000, 0.951
1.495, 0.005, 0.000, 0.951
1.505, 0.005, 0.000, 0.943
1.515, 0.005, 0.000, 0.943
1.525, 0.005, 0.000, 0.926
1.535, 0.005, 0.000, 0.926
1.545, 0.005, 0.000, 0.869
1.555, 0.005, 0.000, 0.869
1.565, 0.005, 0.000, 0.732
1.575, 0.005, 0.000, 0.732
1.585, 0.005, 0.000, 0.645
1.595, 0.005, 0.000, 0.645
1.605, 0.005, 0.000, 0.624
1.615, 0.005, 0.000, 0.624
1.625, 0.005, 0.000, 0.481
1.635, 0.005, 0.000, 0.481
1.645, 0.005, 0.000, 0.507
1.655, 0.005, 0.000, 0.507
1.665, 0.005, 0.000, 0.558
1.675, 0.005, 0.000, 0.558
1.685, 0.005, 0.000, 0.607
1.695, 0.005, 0.000, 0.607
1.705, 0.005, 0.000, 0.653
1.715, 0.005, 0.000, 0.653
1.725, 0.005, 0.000, 0.690
1.735, 0.005, 0.000, 0.690
1.745, 0.005, 0.000, 0.718
1.755, 0.005, 0.000, 0.718
1.765, 0.005, 0.000, 0.741
1.775, 0.005, 0.000, 0.741
1.785, 0.005, 0.000, 0.760
1.795, 0.005, 0.000, 0.760
1.805, 0.005, 0.000, 0.776
1.815, 0.005, 0.000, 0.776
1.825, 0.005, 0.000, 0.790
1.835, 0.005, 0.000, 0.790
1.845, 0.005, 0.000, 0.799
1.855, 0.005, 0.000, 0.799
1.865, 0.005, 0.000, 0.787
1.875, 0.005, 0.000, 0.787
1.885, 0.005, 0.000, 0.770
1.895, 0.005, 0.000, 0.770
1.905, 0.005, 0.000, 0.748
1.915, 0.005, 0.000, 0.748
1.925, 0.005, 0.000, 0.711
1.935, 0.005, 0.000, 0.711
1.945, 0.005, 0.000, 0.645
1.955, 0.005, 0.000, 0.645
1.965, 0.005, 0.000, 0.565
1.975, 0.005, 0.000, 0.565
1.985, 0.005, 0.000, 0.622
1.995, 0.005, 0.000, 0.622
2.005, 0.005, 0.000, 0.608
2.015, 0.005, 0.000, 0.608
2.025, 0.005, 0.000, 0.584
2.035, 0.005, 0.000, 0.584
2.045, 0.005, 0.000, 0.561
2.055, 0.005, 0.000, 0.561
2.065, 0.005, 0.000, 0.541
2.075, 0.005, 0.000, 0.541
2.085, 0.005, 0.000, 0.521
2.095, 0.005, 0.000, 0.521
2.105, 0.005, 0.000, 0.524
2.115, 0.005, 0.000, 0.524
2.125, 0.005, 0.000, 0.543
2.135, 0.005, 0.000, 0.543
2.145, 0.005, 0.000, 0.551
2.155, 0.005, 0.000, 0.551
2.165, 0.005, 0.000, 0.549
2.175, 0.005, 0.000, 0.549
2.185, 0.005, 0.000, 0.541
2.195, 0.005, 0.000, 0.541
2.205, 0.005, 0.000, 0.528
2.215, 0.005, 0.000, 0.528
2.225, 0.005, 0.000, 0.510
2.235, 0.005, 0.000, 0.510
2.245, 0.005, 0.000, 0.509
2.255, 0.005, 0.000, 0.509
2.265, 0.005, 0.000, 0.518
2.275, 0.005, 0.000, 0.518
2.285, 0.005, 0.000, 0.516
2.295, 0.005, 0.000, 0.516
2.305, 0.005, 0.000, 0.500
2.315, 0.005, 0.000, 0.500
2.325, 0.005, 0.000, 0.479
2.335, 0.005, 0.000, 0.479
2.345, 0.005, 0.000, 0.466
2.355, 0.005, 0.000, 0.466
2.365, 0.005, 0.000, 0.470
2.375, 0.005, 0.000, 0.470
2.385, 0.005, 0.000, 0.494
2.395, 0.005, 0.000, 0.494
2.405, 0.005, 0.000, 0.528
2.415, 0.005, 0.000, 0.528
2.425, 0.005, 0.000, 0.556
2.435, 0.005, 0.000, 0.556
2.445, 0.005, 0.000, 0.571
2.455, 0.005, 0.000, 0.571
2.465, 0.005, 0.000, 0.576
2.475, 0.005, 0.000, 0.576
2.485, 0.005, 0.000, 0.576
2.495, 0.005, 0.000, 0.576
2.505, 0.005, 0.000, 0.572
2.515, 0.005, 0.000, 0.572
2.525, 0.005, 0.000, 0.563
2.535, 0.005, 0.000, 0.563
2.545, 0.005, 0.000, 0.551
2.555, 0.005, 0.000, 0.551
2.565, 0.005, 0.000, 0.533
2.575, 0.005, 0.000, 0.533
2.585, 0.005, 0.000, 0.509
2.595, 0.005, 0.000, 0.509
2.605, 0.005, 0.000, 0.476
2.615, 0.005, 0.000, 0.476
2.625, 0.005, 0.000, 0.426
2.635, 0.005, 0.000, 0.426
2.645, 0.005, 0.000, 0.336
2.655, 0.005, 0.000, 0.336
2.665, 0.005, 0.000, 0.335
2.675, 0.005, 0.000, 0.335
2.685, 0.005, 0.000, 0.380
2.695, 0.005, 0.000, 0.380
2.705, 0.005, 0.000, 0.345
2.715, 0.005, 0.000, 0.345
2.725, 0.005, 0.000, 0.293
2.735, 0.005, 0.000, 0.293
2.745, 0.005, 0.000, 0.374
2.755, 0.005, 0.000, 0.374
2.765, 0.005, 0.000, 0.349
2.775, 0.005, 0.000, 0.349
2.785, 0.005, 0.000, 0.304
2.795, 0.005, 0.000, 0.304
0.005, 0.015, 0.000, 0.686
0.015, 0.015, 0.000, 0.686
0.025, 0.015, 0.000, 0.759
0.035, 0.015, 0.000, 0.759
0.045, 0.015, 0.000, 0.771
0.055, 0.015, 0.000, 0.771
0.065, 0.015, 0.000, 0.778
0.075, 0.015, 0.000, 0.778
0.085, 0.015, 0.000, 0.784
0.095, 0.015, 0.000, 0.784
0.105, 0.015, 0.000, 0.792
0.115, 0.015, 0.000, 0.792
0.125, 0.015, 0.000, 0.804
0.135, 0.015, 0.000, 0.804
0.145, 0.015, 0.000, 0.823
0.155, 0.015, 0.000, 0.823
0.165, 0.015, 0.000, 0.772
0.175, 0.015, 0.000, 0.772
0.185, 0.015, 0.000, 0.794
0.195, 0.015, 0.000, 0.794
0.205, 0.015, 0.000, 0.819
0.215, 0.015, 0.000, 0.819
0.225, 0.015, 0.000, 0.841
0.235, 0.015, 0.000, 0.841
0.245, 0.015, 0.000, 0.856
0.255, 0.015, 0.000, 0.856
0.265, 0.015, 0.000, 0.858
0.275, 0.015, 0.000, 0.858
0.285, 0.015, 0.000, 0.834
0.295, 0.015, 0.000, 0.834
0.305, 0.015, 0.000, 0.998
0.315, 0.015, 0.000, 0.998
0.325, 0.015, 0.000, 1.007
0.335, 0.015, 0.000, 1.007
0.345, 0.015, 0.000, 1.016
0.355, 0.015, 0.000, 1.016
0.365, 0.015, 0.000, 1.048
0.375, 0.015, 0.000, 1.048
0.385, 0.015, 0.000, 1.083
0.395, 0.015, 0.000, 1.083
0.405, 0.015, 0.000, 1.116
0.415, 0.015, 0.000, 1.116
0.425, 0.015, 0.000, 1.143
0.435, 0.015, 0.000, 1.143
0.445, 0.015, 0.000, 1.162
0.455, 0.015, 0.000, 1.162
0.465, 0.015, 0.000, 1.178
0.475, 0.015, 0.000, 1.178
0.485, 0.015, 0.000, 1.192
0.495, 0.015, 0.000, 1.192
0.505, 0.015, 0.000, 1.026
0.515, 0.015, 0.000, 1.026
0.525, 0.015, 0.000, 1.041
0.535, 0.015, 0.000, 1.041
0.545, 0.015, 0.000, 1.056
0.555, 0.015, 0.000, 1.056
0.565, 0.015, 0.000, 1.071
0.575, 0.015, 0.000, 1.071
0.585, 0.015, 0.000, 1.085
0.595, 0.015, 0.000, 1.085
0.605, 0.015, 0.000, 1.099
0.615, 0.015, 0.000, 1.099
0.625, 0.015, 0.000, 1.111
0.635, 0.015, 0.000, 1.111
0.645, 0.015, 0.000, 1.117
0.655, 0.015, 0.000, 1.117
0.665, 0.015, 0.000, 1.109
0.675, 0.015, 0.000, 1.109
0.685, 0.015, 0.000, 1.095
0.695, 0.015, 0.000, 1.095
0.705, 0.015, 0.000, 1.080
0.715, 0.015, 0.000, 1.080
0.725, 0.015, 0.000, 1.065
0.735, 0.015, 0.000, 1.065
0.745, 0.015, 0.000, 1.049
0.755, 0.015, 0.000, 1.049
0.765, 0.015, 0.000, 1.031
0.775, 0.015, 0.000, 1.031
0.785, 0.015, 0.000, 1.012
0.795, 0.015, 0.000, 1.012
0.805, 0.015, 0.000, 0.993
0.815, 0.015, 0.000, 0.993
0.825, 0.015, 0.000, 0.973
0.835, 0.015, 0.000, 0.973
0.845, 0.015, 0.000, 0.954
0.855, 0.015, 0.000, 0.954
0.865, 0.015, 0.000, 0.937
0.875, 0.015, 0.000, 0.937
0.885, 0.015, 0.000, 0.923
0.895, 0.015, 0.000, 0.923
0.905, 0.015, 0.000, 0.911
0.915, 0.015, 0.000, 0.911
0.925, 0.015, 0.000, 0.900
0.935, 0.015, 0.000, 0.900
0.945, 0.015, 0.000, 0.887
0.955, 0.015, 0.000, 0.887
0.965, 0.015, 0.000, 0.871
0.975, 0.015, 0.000, 0.871
0.985, 0.015, 0.000, 0.852
0.995, 0.015, 0.000, 0.852
1.005, 0.015, 0.000, 1.109
1.015, 0.015, 0.000, 1.109
1.025, 0.015, 0.000, 1.112
1.035, 0.015, 0.000, 1.112
1.045, 0.015, 0.000, 1.117
1.055, 0.015, 0.000, 1.117
1.065, 0.015, 0.000, 1.107
1.075, 0.015, 0.000, 1.107
1.085, 0.015, 0.000, 1.102
1.095, 0.015, 0.000, 1.102
1.105, 0.015, 0.000, 1.103
1.115, 0.015, 0.000, 1.103
1.125, 0.015, 0.000, 1.107
1.135, 0.015, 0.000, 1.107
1.145, 0.015, 0.000, 1.112
1.155, 0.015, 0.000, 1.112
1.165, 0.015, 0.000, 1.115
1.175, 0.015, 0.000, 1.115
1.185, 0.015, 0.000, 1.117
