x,z,saturation,concentration
0.005, 0.005, 0.000, 0.003
0.015, 0.005, 0.000, 0.003
0.025, 0.005, 0.000, 0.029
0.035, 0.005, 0.000, 0.029
0.045, 0.005, 0.000, 0.117
0.055, 0.005, 0.000, 0.117
0.065, 0.005, 0.000, 0.271
0.075, 0.005, 0.000, 0.271
0.085, 0.005, 0.000, 0.444
0.095, 0.005, 0.000, 0.444
0.105, 0.005, 0.000, 0.581
0.115, 0.005, 0.000, 0.581
0.125, 0.005, 0.000, 0.665
0.135, 0.005, 0.000, 0.665
0.145, 0.005, 0.000, 0.723
0.155, 0.005, 0.000, 0.723
0.165, 0.005, 0.000, 0.767
0.175, 0.005, 0.000, 0.767
0.185, 0.005, 0.000, 0.798
0.195, 0.005, 0.000, 0.798
0.205, 0.005, 0.000, 0.818
0.215, 0.005, 0.000, 0.818
0.225, 0.005, 0.000, 0.829
0.235, 0.005, 0.000, 0.829
0.245, 0.005, 0.000, 0.829
0.255, 0.005, 0.000, 0.829
0.265, 0.005, 0.000, 0.826
0.275, 0.005, 0.000, 0.826
0.285, 0.005, 0.000, 0.822
0.295, 0.005, 0.000, 0.822
0.305, 0.005, 0.000, 0.817
0.315, 0.005, 0.000, 0.817
0.325, 0.005, 0.000, 0.810
0.335, 0.005, 0.000, 0.810
0.345, 0.005, 0.000, 0.804
0.355, 0.005, 0.000, 0.804
0.365, 0.005, 0.000, 0.798
0.375, 0.005, 0.000, 0.798
0.385, 0.005, 0.000, 0.790
0.395, 0.005, 0.000, 0.790
0.405, 0.005, 0.000, 0.782
0.415, 0.005, 0.000, 0.782
0.425, 0.005, 0.000, 0.785
0.435, 0.005, 0.000, 0.785
0.445, 0.005, 0.000, 0.818
0.455, 0.005, 0.000, 0.818
0.465, 0.005, 0.000, 0.901
0.475, 0.005, 0.000, 0.901
0.485, 0.005, 0.000, 1.014
0.495, 0.005, 0.000, 1.014
0.505, 0.005, 0.000, 1.097
0.515, 0.005, 0.000, 1.097
0.525, 0.005, 0.000, 1.141
0.535, 0.005, 0.000, 1.141
0.545, 0.005, 0.000, 1.176
0.555, 0.005, 0.000, 1.176
0.565, 0.005, 0.000, 1.205
0.575, 0.005, 0.000, 1.205
0.585, 0.005, 0.000, 1.231
0.595, 0.005, 0.000, 1.231
0.605, 0.005, 0.000, 1.253
